DMA,Trip Share,Trips,Visitor Days,Avg Trip Length,Est Impact,Spend Per Visitor
Madison,0.07%,0,0,3.15,$0,$0
Phoenix -Prescott,13.38%,11,31,2.84,"$3,511",$319
Mobile-Pensacola -Ft Walt,0.08%,0,0,1.91,$0,$0
Wichita-Hutchinson Plus,0.05%,0,0,2.62,$0,$0
Las Vegas,4.39%,4,10,2.66,"$2,120",$530
Cleveland-Akron -Canton,0.09%,0,0,3.96,$0,$0
Salt Lake City,2.61%,2,8,3.84,$375,$188
San Francisco-Oak-San Jose,7.5%,6,18,2.93,"$1,649",$275
Denver,5.02%,4,12,2.92,$722,$181
Spokane,0.07%,0,0,2.64,$0,$0
New York,0.11%,0,0,1.32,$0,$161
Bakersfield,1.25%,1,2,1.94,$0,$0
Washington-DC -Hagrstwn,0.11%,0,0,1.33,$0,$328
Kansas City,0.2%,0,0,1.32,$0,$0
Springfield- MO,0.09%,0,0,2.64,$0,$0
Philadelphia,0.01%,0,0,1.34,$0,$455
Sacramnto-Stkton-Modesto,5.79%,5,13,2.67,"$6,565","$1,313"
San Diego,18.77%,15,29,1.93,"$2,474",$165
Medford-Klamath Falls,0.06%,0,0,1.31,$0,$0
Los Angeles,30.22%,25,51,2.07,"$3,396",$136
Honolulu,0.09%,0,0,1.32,$0,$89
Billings,0.15%,0,0,2.66,$0,$0
Palm Springs,3.28%,3,5,2.01,$422,$141
Atlanta,0.03%,0,0,12.72,$0,$317
Boston -Manchester,0.03%,0,0,2.83,$0,$397
Reno,0.15%,0,0,3.01,$0,$0
Columbia-Jefferson City,0.09%,0,1,13.19,$0,$0
Montgomery-Selma,0.11%,0,0,4.88,$0,$0
Chicago,0.05%,0,0,1.31,$0,$229
Portland- OR,0.69%,1,1,2.5,"$1,408","$1,408"
SantaBarbra-SanMar-SanLuob,2.37%,2,5,2.54,$764,$382
Norfolk-Portsmth-Newpt Nws,0.05%,0,0,1.31,$0,$0
Omaha,0.03%,0,0,9.89,$0,$0
Fresno-Visalia,0.09%,0,0,1.93,$0,$425
Yuma-El Centro,0.03%,0,0,2.69,$0,$0
Jacksonville,0.19%,0,0,1.33,$0,$0
Seattle-Tacoma,2.7%,2,7,3.03,$476,$238
