Month,Spending
Jan 2021,$0.00
Feb 2021,$0.00
Mar 2021,"$7,697,594.32"
Apr 2021,"$12,790,558.95"
May 2021,"$9,683,582.33"
Jun 2021,"$12,182,565.31"
Jul 2021,"$13,355,279.16"
Aug 2021,"$11,332,073.28"
Sep 2021,"$10,649,940.30"
Oct 2021,"$7,779,580.26"
Nov 2021,"$7,348,345.09"
Dec 2021,"$8,151,693.23"
Jan 2022,"$6,262,248.44"
Feb 2022,"$7,395,826.73"
Mar 2022,"$9,009,342.31"
Apr 2022,"$7,897,449.63"
May 2022,"$8,831,452.52"
Jun 2022,"$9,175,714.72"
Jul 2022,"$13,174,095.41"
Aug 2022,"$11,392,922.15"
Sep 2022,"$10,559,863.86"
Oct 2022,"$8,556,087.94"
Nov 2022,"$7,210,036.28"
Dec 2022,"$7,303,822.89"
Jan 2023,"$5,970,289.81"
Feb 2023,"$5,382,049.31"
Mar 2023,"$8,003,281.12"
Apr 2023,"$6,471,621.57"
May 2023,"$8,622,220.69"
Jun 2023,"$8,941,137.91"
Jul 2023,"$13,694,161.10"
Aug 2023,"$10,061,093.27"
Sep 2023,"$9,473,655.67"
Oct 2023,"$7,266,518.59"
Nov 2023,"$5,832,882.88"
Dec 2023,"$7,198,154.96"
Jan 2024,"$5,757,412.82"
Feb 2024,"$5,210,948.22"
Mar 2024,"$7,640,561.08"
Apr 2024,"$6,105,284.43"
May 2024,"$6,137,143.20"
Jun 2024,"$8,602,053.43"
Jul 2024,"$10,940,868.60"
Aug 2024,"$9,247,032.03"
Sep 2024,"$6,831,451.95"
Oct 2024,"$5,659,070.53"
Nov 2024,"$6,827,674.81"
Dec 2024,"$5,502,185.56"
Jan 2025,"$6,107,434.04"
Feb 2025,"$4,505,992.22"
Mar 2025,"$5,796,936.32"
Apr 2025,"$6,305,543.21"
May 2025,"$6,640,303.79"
Jun 2025,"$8,893,209.98"
Jul 2025,"$10,858,789.25"
Aug 2025,"$8,072,363.39"
Sep 2025,"$7,653,450.36"
Oct 2025,"$7,094,018.88"
Nov 2025,"$6,605,101.62"
Dec 2025,"$7,363,596.28"
Jan 2026,"$6,735,372.67"
Feb 2026,"$7,915,068.32"
Mar 2026,"$10,383,356.89"
Apr 2026,"$8,011,558.68"
May 2026,"$9,345,714.53"
Jun 2026,"$9,303,345.93"
Jul 2026,"$12,716,731.90"
Aug 2026,$0.00
Sep 2026,$0.00
Oct 2026,$0.00
Nov 2026,$0.00
Dec 2026,$0.00
