DMA,Share of Spend %,Avg. Spend
Los Angeles,0.1631332774782985,93.27422563405877
Las Vegas,0.07935820892687703,195.8726145459896
Salt Lake City,0.07842398424458934,173.48840845994005
Phoenix -Prescott,0.06460226459931111,124.29025008115768
Houston,0.06190462434567632,634.8308436475728
San Diego,0.05108752931496008,69.20135915626594
Seattle-Tacoma,0.05009299871068671,633.0167723958649
Palm Springs,0.040514643187501136,151.36832751680592
San Francisco-Oak-San Jose,0.03675596574953605,117.6841225487861
Denver,0.031752043778933946,211.64686646782778
Portland- OR,0.0315219863407142,710.2206207815511
Dallas-Ft. Worth,0.026642931524951435,144.94835228368913
Sacramnto-Stkton-Modesto,0.024392131652052246,150.36807050680184
West Palm Beach-Ft. Pierce,0.014765762197522795,337.68782953594035
Ft. Myers-Naples,0.014484972307621689,271.2995201595247
Minneapolis-St. Paul,0.011433586567360331,173.66705667238503
Omaha,0.011247929100396924,397.230828722318
Honolulu,0.01098420905386893,205.98559054015954
Tucson -Sierra Vista,0.010277384361176768,101.58487600688063
New York,0.009670274219749822,117.73376543998718
Philadelphia,0.009115072830440142,322.2908326735098
Austin,0.009077356884374,185.45345722436906
Boise,0.007978105055401282,106.93604984106838
Chicago,0.00795367891427887,139.56952492346906
Albuquerque-Santa Fe,0.007770817558333291,160.24600244379366
Bakersfield,0.006226670422823689,74.81357118061611
Missoula,0.00601246089402622,138.4133369922638
Atlanta,0.005511630502291045,91.26251394612447
Indianapolis,0.005490705796817427,166.54799906412762
Detroit,0.005405166655907578,358.6906117796898
Tampa-St. Pete -Sarasota,0.005384975331718336,124.94466566812424
Kansas City,0.005282225815291799,200.3966647386551
Washington-DC -Hagrstwn,0.005080825263527195,83.88720178679814
Nashville,0.0049949450442238275,91.32578840891522
Spokane,0.0049900325997348045,270.2255924088615
SantaBarbra-SanMar-SanLuob,0.004959328322016232,135.66491787262214
Miami-Ft. Lauderdale,0.004606959551582893,57.432244904187264
Reno,0.00456885509390068,110.02217483105869
Fresno-Visalia,0.00424677307280398,61.87502926237441
Colorado Springs-Pueblo,0.0038393580882010512,131.28419688698295
San Antonio,0.003807194182952883,125.43292693070002
Cleveland-Akron -Canton,0.0034886285141872654,122.28333494398329
Columbus- OH,0.003452764823247333,164.82000172138214
Cincinnati,0.002962578858186351,117.13176106965099
Pittsburgh,0.0029137738371637994,149.29610962337918
Boston -Manchester,0.0024929646991714467,66.65988628325007
Monterey-Salinas,0.002371087465179765,135.1211559139952
Idaho Falls-Pocatllo-Jcksn,0.0022146646730855646,303.7859331434899
Wilkes Barre-Scranton-Hztn,0.0017750776955084858,145.390833179156
El Paso -Las Cruces,0.0017091657504265361,186.59475798833938
Baltimore,0.0016696767765254142,75.32400042215983
Charlotte,0.0014171624654721751,69.57125091552734
Memphis,0.0013967147589940307,145.89285873231432
Raleigh-Durham -Fayetvlle,0.0013701371735973127,63.69516570766766
Bend- OR,0.0013458000607576757,99.40091055089778
Des Moines-Ames,0.0013380953902068038,86.12406402826309
Oklahoma City,0.0013123811978379776,144.45069934129714
Waco-Temple-Bryan,0.0012993041713767858,157.1210000038147
Milwaukee,0.0012463622476604752,89.84939528355993
Greenvll-Spart-Ashevll-And,0.0011547776760698907,115.19500056902568
Albany-Schenectady-Troy,0.0011304357776598228,237.87166468302408
Lubbock,0.0011154462299926217,164.56075003147123
Mobile-Pensacola -Ft Walt,0.0010357880353085104,113.99357407433646
Orlando-Daytona Bch-Melbrn,0.0010051764082419593,71.2900002479553
Davenport-R.Island-Moline,0.000984599634278707,159.20541699727377
Butte-Bozeman,0.0009484565139037557,215.37900269826255
Norfolk-Portsmth-Newpt Nws,0.0009008785447974021,152.70533301035562
Wichita-Hutchinson Plus,0.0008131234683596316,238.23800178527836
Hartford & New Haven,0.0008063509787160642,59.38259299596151
Tulsa,0.0007294723501904413,122.77250000282568
Lincoln & Hastings-Krny,0.0007204485971247563,78.53873001583038
Harrisburg-Lncstr-Leb-York,0.0006470571412055936,114.56516756897338
Rochestr-Mason City-Austin,0.0006405767116908008,47.860714333398
Chico-Redding,0.0005899208008949349,48.06385625089917
Madison,0.0005806510480631336,124.0944446457757
Grand Rapids-Kalmzoo-B.Crk,0.0005776980771783751,50.48833195368449
Eugene,0.0005544676887382373,55.81500072479248
Buffalo,0.0005023774580803176,54.32850036621094
Green Bay-Appleton,0.00048621060187109896,73.70375047127406
Twin Falls,0.0004834973568529522,132.48875045776367
Yuma-El Centro,0.0004220721577137846,39.31316760381063
Birmingham -Ann and Tusc,0.0004145831053442064,46.86499961217245
Minot-Bsmrck-Dcknsn-Wlstn,0.0004089492987551022,86.83071511132377
Cedar Rapids-Wtrlo-Iwc&Dub,0.00039634915350864264,64.52370497032447
Louisville,0.0003677450634563578,96.17682550823878
Richmond-Petersburg,0.0002358565791659704,63.87500023841858
Evansville,0.00022084744181900256,41.739999771118164
