DMA,Trip Share,Trips,Visitor Days,Avg Trip Length,Est Impact,Spend Per Visitor
Madison,0.11%,0,0,3.05,$0,$0
Phoenix -Prescott,13.06%,7,20,2.86,"$2,234",$319
Mobile-Pensacola -Ft Walt,0.13%,0,0,1.85,$0,$0
Wichita-Hutchinson Plus,0.08%,0,0,2.71,$0,$0
Las Vegas,4.89%,3,7,2.56,"$1,590",$530
Salt Lake City,3.09%,2,7,4.14,$375,$188
San Francisco-Oak-San Jose,7.98%,4,13,3.01,"$1,100",$275
Denver,5.31%,3,7,2.61,$542,$181
New York,0.04%,0,0,1.35,$0,$161
Bakersfield,1.24%,1,1,1.9,$0,$0
Washington-DC -Hagrstwn,0.17%,0,0,1.34,$0,$328
Kansas City,0.21%,0,0,1.35,$0,$0
Philadelphia,0.02%,0,0,1.31,$0,$455
Sacramnto-Stkton-Modesto,5.17%,3,8,2.76,"$3,939","$1,313"
San Diego,17.96%,10,19,1.94,"$1,649",$165
Medford-Klamath Falls,0.09%,0,0,1.35,$0,$0
Los Angeles,29.62%,16,33,2.1,"$2,173",$136
Billings,0.23%,0,0,2.66,$0,$0
Palm Springs,4.02%,2,4,1.97,$281,$141
Atlanta,0.04%,0,0,12.27,$0,$317
Boston -Manchester,0.04%,0,0,2.73,$0,$397
Montgomery-Selma,0.17%,0,0,2.07,$0,$0
Chicago,0.07%,0,0,1.35,$0,$229
Portland- OR,0.67%,0,1,2.95,$0,"$1,408"
SantaBarbra-SanMar-SanLuob,2.19%,1,3,2.86,$382,$382
Norfolk-Portsmth-Newpt Nws,0.08%,0,0,1.35,$0,$0
Omaha,0.04%,0,0,9.54,$0,$0
Fresno-Visalia,0.14%,0,0,1.88,$0,$425
Yuma-El Centro,0.05%,0,0,2.61,$0,$0
Jacksonville,0.19%,0,0,1.33,$0,$0
Seattle-Tacoma,2.89%,2,5,3.32,$476,$238
