Page Title,Page Views,Page Path
Visit Dana Point | The Best Beaches in Southern California,20058,/
Dana Point Trolley | Free Coastal Transportation & Stops,12870,/dana-point-trolley/
Summer Concerts in the Park,6746,/event/summer-concerts-in-the-park/768/
"Dana Point Events | Festivals, Live Music & Coastal Celebrations",6419,/events/
Baby Beach,5296,/listing/baby-beach/11/
Things to Do in Dana Point | Explore Dana Point,5202,/things-to-do/
"Best Year-Round Whale Watching | Dana Point, California",3953,/things-to-do/harbor-ocean-adventure/dana-point-whale-watching/
Strands Beach,3786,/listing/strands-beach/48/
Dana Point Shopping | Shop Local,3217,/things-to-do/shopping/
"Things to Do in Dana Point | Beaches, Dining & Activities",2840,/things-to-do/
Dana Point Hotels | All Places to Stay,2394,/lodging/
4th of July Fireworks,2375,/event/4th-of-july-fireworks/767/
Salt Creek Beach,2260,/listing/salt-creek-beach/245/
Dana Point Harbor Farmers Market,2232,/event/dana-point-harbor-farmers-market/724/
"Hiking in Dana Point | Scenic Trails, Bluffs & Ocean Views",2095,/things-to-do/onshore-activities/hiking/
Dana Point Restaurants | Dining,1964,/dana-point-restaurants/
Dana Point Beaches | Best Southern California Shorelines,1893,/things-to-do/harbor-ocean-adventure/dana-point-beaches/
Local Attractions - Visit Dana Point,1764,/things-to-do/local-attractions/
Offers - Visit Dana Point,1732,/offers/
Get on the Water | Dana Point Kayaking & Paddleboarding,1720,/things-to-do/harbor-ocean-adventure/kayaking-paddleboarding/
Dana Point Trolley | Visit Dana Point,1639,/dana-point-trolley/
Events from February 6 – February 14 – Visit Dana Point,1611,/events/
Doheny State Beach,1591,/listing/doheny-state-beach/239/
Dana Point Hotels & Resorts | Where to Stay in Dana Point,1484,/lodging/
Ocean View Restaurants in Dana Point | Visit Dana Point,1402,/dana-point-restaurants/ocean-view-restaurants/
4th of july parking and fireworks,1375,/blog/post/where-to-park-and-where-to-watch-fireworks-in-dana-point/
Dana Point Hiking | Find Your Trail,1329,/things-to-do/onshore-activities/hiking/
Art & Museums in Orange County | Visit Dana Point,1300,/things-to-do/arts-culture/
404,1239,/visitors-guide/
Dana Point Headlands Conservation Area,1203,/listing/dana-point-headlands-conservation-area/298/
Dana Point Bars and Nightlife | Find Bars in Dana Point,1021,/dana-point-restaurants/bars-nightlife/
Contact Us - Visit Dana Point,1006,/contact-us/
Capt. Dave's Dolphin & Whale Watching Safari,973,/listing/capt-daves-dolphin-&-whale-watching-safari/29/
