Demographic,Group/Level,Share of Demographic
Age,45-64 years old,38.34%
Age,25-44 years old,25.72%
Age,65+ years old,24.11%
Age,16-24 years old,11.84%
Education Level,High School,51.02%
Education Level,Bachelors,42.69%
Education Level,Graduate,6.29%
Ethnicity,White,66.98%
Ethnicity,Hispanic,19.49%
Ethnicity,Asian,9.32%
Ethnicity,Black,3.24%
Ethnicity,Other,0.97%
Household,1-2 people,48.85%
Household,3-5 people,42.98%
Household,6+ people,8.17%
Income,$150K+,29.68%
Income,$0-$50K,23.09%
Income,$100K-$150K,20.07%
Income,$75K-$100K,14.06%
Income,$50K-$75K,13.09%
