Demographic,Group/Level,Share of Demographic
Age,45-64 years old,38.29%
Age,25-44 years old,25.70%
Age,65+ years old,24.21%
Age,16-24 years old,11.79%
Education Level,High School,51.09%
Education Level,Bachelors,42.62%
Education Level,Graduate,6.29%
Ethnicity,White,66.95%
Ethnicity,Hispanic,19.55%
Ethnicity,Asian,9.33%
Ethnicity,Black,3.20%
Ethnicity,Other,0.98%
Household,1-2 people,48.95%
Household,3-5 people,42.91%
Household,6+ people,8.14%
Income,$150K+,29.62%
Income,$0-$50K,23.12%
Income,$100K-$150K,20.13%
Income,$75K-$100K,14.06%
Income,$50K-$75K,13.07%
