Year,Month,Visitor Days
2023,Jan,"383,943"
2023,Feb,"359,292"
2023,Mar,"533,965"
2023,Apr,"546,854"
2023,May,"550,013"
2023,Jun,"782,205"
2023,Jul,"1,098,458"
2023,Aug,"703,157"
2023,Sep,"516,187"
2023,Oct,"500,726"
2023,Nov,"404,663"
2023,Dec,"527,214"
2024,Jan,"375,287"
2024,Feb,"351,331"
2024,Mar,"519,416"
2024,Apr,"514,477"
2024,May,"526,882"
2024,Jun,"800,992"
2024,Jul,"1,013,953"
2024,Aug,"785,890"
2024,Sep,"576,785"
2024,Oct,"498,603"
2024,Nov,"474,770"
2024,Dec,"581,617"
2025,Jan,"411,960"
2025,Feb,"372,862"
2025,Mar,"612,737"
2025,Apr,"537,890"
2025,May,"595,036"
2025,Jun,"874,594"
2025,Jul,"943,669"
2025,Aug,"863,155"
2025,Sep,"580,050"
2025,Oct,"531,956"
2025,Nov,"494,255"
2025,Dec,"586,836"
2026,Jan,"435,348"
2026,Feb,"391,369"
2026,Mar,"577,745"
2026,Apr,"590,621"
2026,May,"625,115"
2026,Jun,"862,153"
2026,Jul,"1,057,770"
2026,Aug,"480,562"
2026,Sep,0
2026,Oct,0
2026,Nov,0
2026,Dec,0
