DMA,trips,visitor_days,avg_spend_per_visitor,avg_spend_per_day,est_impact,avg_length_of_stay,key,total_trips_[Destination],visitor_days_[Destination],avg_length_of_stay_[Destination],compare_to_overall_[Destination],est_impact_[Destination],correlation_group_[Destination],total_trips_[Resorts],visitor_days_[Resorts],avg_length_of_stay_[Resorts],compare_to_overall_[Resorts],est_impact_[Resorts],correlation_group_[Resorts]
Eugene,23,65,$126.22,$56.57,"$2,903.06",2.8 Days,0,23,65,2.8 Days,-0.46402163178372735,"$2,903.06",100%,4,61,15.8 Days,-13.39351794512856,"$25,193.00",17%
Eureka,7,11,$126.22,$56.57,$883.54,1.5 Days,1,7,11,1.5 Days,0.5631609631540453,$883.54,100%,,,,,,
New York,45,158,$359.60,$129.64,"$16,182.00",3.5 Days,2,45,158,3.5 Days,-1.4522799906493278,"$16,182.00",100%,2,16,9.2 Days,-7.20715410825272,"$6,608.00",4%
Houston,10,64,$266.96,$84.65,"$2,669.60",6.1 Days,3,10,64,6.1 Days,-3.2307417043063054,"$2,669.60",100%,,,,,,
Austin,59,147,$461.93,$230.44,"$27,253.87",2.5 Days,4,59,147,2.5 Days,0.8287603713155591,"$27,253.87",100%,59,147,2.5 Days,0.8287603713155591,"$60,711.00",100%
Honolulu,22,115,$381.60,$128.88,"$8,395.20",5.3 Days,5,22,115,5.3 Days,-3.1413086323882005,"$8,395.20",100%,6,22,3.6 Days,-1.3808250779468314,"$9,086.00",28%
Chicago,40,89,$896.53,$471.75,"$35,861.20",2.2 Days,6,40,89,2.2 Days,0.8962405972124752,"$35,861.20",100%,4,17,4.9 Days,-1.7680323692857516,"$7,021.00",9%
Atlanta,7,7,$632.46,$298.79,"$4,427.22",1.1 Days,7,7,7,1.1 Days,0.9986690295241001,"$4,427.22",100%,,,,,,
Reno,3,9,$283.94,$145.17,$851.82,2.7 Days,8,3,9,2.7 Days,-0.07777288943359828,$851.82,100%,3,9,3.3 Days,-0.6815491373572513,"$3,717.00",82%
Madison,15,19,$138.90,$81.57,"$2,083.50",1.2 Days,9,15,19,1.2 Days,1.7487295243731589,"$2,083.50",100%,2,2,1 Days,1.9632934807484348,$826.00,12%
Boise,11,15,$340.84,$122.45,"$3,749.24",1.4 Days,10,11,15,1.4 Days,1.7417536135094611,"$3,749.24",100%,,,,,,
Denver,45,57,$387.96,$139.17,"$17,458.20",1.2 Days,11,45,57,1.2 Days,1.5374769040072263,"$17,458.20",100%,,,,,,
Spokane,30,86,$141.68,$83.09,"$4,250.40",2.9 Days,12,30,86,2.9 Days,-0.3902873837452612,"$4,250.40",100%,,,,,,
Rockford,6,18,$126.22,$56.57,$757.32,3 Days,13,6,18,3 Days,-0.48967451290502684,$757.32,100%,6,18,3 Days,-0.48967451290502684,"$7,434.00",100%
Twin Falls,7,12,$308.66,$166.38,"$2,160.62",1.6 Days,14,7,12,1.6 Days,-0.27075741242554496,"$2,160.62",100%,,,,,,
