DMA,trips,sortingMetric,visitor_days,avg_spend_per_visitor,avg_spend_per_day,est_impact,avg_length_of_stay,key,originalRank,total_trips_[Destination],visitor_days_[Destination],avg_length_of_stay_[Destination],compare_to_overall_[Destination],est_impact_[Destination],correlation_group_[Destination]
Phoenix -Prescott,38,37.641330252664325,38,$220.77,$82.46,"$8,389.26",1 Days,9,0,38,38,1 Days,-1.2399102540256366,"$8,389.26",100%
New York,29,28.959691858096697,101,$248.80,$76.45,"$7,215.20",3.5 Days,0,1,29,101,3.5 Days,1.3656780705456928,"$7,215.20",100%
Philadelphia,19,18.96971816362876,94,$317.64,$103.26,"$6,035.16",4.9 Days,4,2,19,94,4.9 Days,2.7229166383218053,"$6,035.16",100%
Madison,12,12.309436330406442,49,$134.93,$46.76,"$1,619.16",4 Days,1,3,12,49,4 Days,1.5800168991076426,"$1,619.16",100%
Indianapolis,8,8.176074726548531,8,$134.93,$46.76,"$1,079.44",1 Days,5,4,8,8,1 Days,-1.1914255095729613,"$1,079.44",100%
Las Vegas,8,8.176074726548531,20,$183.46,$94.55,"$1,467.68",2.5 Days,8,5,8,20,2.5 Days,0.30190243964078833,"$1,467.68",100%
Rochester- NY,6,6.154718165203221,25,$134.93,$46.76,$809.58,4 Days,6,6,6,25,4 Days,1.7201377478223896,$809.58,100%
Charlotte,6,6.064069684035928,18,$99.39,$46.37,$596.34,3 Days,2,7,6,18,3 Days,0.8514670345887878,$596.34,100%
San Francisco-Oak-San Jose,2,2.319462635938503,2,$314.31,$210.39,$628.62,1 Days,10,8,2,2,1 Days,-1.0837007792815423,$628.62,100%
Chattanooga,2,2.0213565613453097,22,$134.93,$46.76,$269.86,11 Days,3,9,2,22,11 Days,8.919402478934485,$269.86,100%
Evansville,2,2.0213565613453097,6,$134.93,$46.76,$269.86,3 Days,7,10,2,6,3 Days,1.065756711292785,$269.86,100%
