market,shareOfImpact,shareOfSpendPerVisitor,shareOfSpendPerDay,avg_spend_per_visitor,shareOfVisitorDays,estImpact,avg_spend_per_day,shareOfTrips,visitorDays,trips,originalRank
Phoenix -Prescott,0.2643192375844069,0.007529366997207914,0.0026090576724756426,220.76812158971097,0.09820840149790339,8389.26,82.46276613028333,0.28341538973541464,37.641330252664325,37.641330252664325,0
New York,0.22732829391615145,0.007529366997207914,0.0026090576724756426,248.8007293183629,0.2624409205967472,7215.200000000001,76.4468715875367,0.21804814812566403,100.58839379649521,28.959691858096697,1
Philadelphia,0.1901489392270485,0.007529366997207915,0.0026090576724756426,317.6385352237804,0.24452493557578078,6035.16,103.26108984845482,0.14282996988756191,93.72155248057805,18.96971816362876,2
Madison,0.09022556390977443,0.007529366997207915,0.0026090576724756426,238.64052869079444,0.12846411720678938,2863.68,86.97587358026091,0.09268226366039437,49.237745321625766,12.309436330406442,3
Indianapolis,0.06015037593984962,0.007529366997207915,0.0026090576724756426,238.64052869079444,0.02133185049603564,1909.12,86.97587358026091,0.06156066721278024,8.176074726548531,8.176074726548531,4
Las Vegas,0.046241987805585034,0.007529366997207915,0.0026090576724756426,183.45843087212515,0.05344787979773299,1467.68,94.55327717120352,0.06156066721278024,20.485511056954973,8.176074726548531,5
Rochester- NY,0.045112781954887216,0.007529366997207915,0.0026090576724756426,238.64052869079444,0.06423205860339469,1431.84,86.97587358026091,0.04634113183019718,24.618872660812883,6.154718165203221,6
Charlotte,0.018788800697687902,0.007529366997207915,0.0026090576724756426,99.39444445504083,0.04746452260668266,596.34,46.366533489227294,0.045658606147749144,18.192209052107785,6.064069684035928,7
San Francisco-Oak-San Jose,0.019805842127948097,0.007529366997207915,0.0026090576724756426,314.30714644114323,0.006051611786315929,628.62,210.38619737908996,0.01746408542229224,2.319462635938503,2.319462635938503,8
Chattanooga,0.015037593984962405,0.007529366997207915,0.0026090576724756426,238.64052869079444,0.058012194297056584,477.28,86.97587358026091,0.015219535382583051,22.234922174798406,2.0213565613453097,9
Evansville,0.015037593984962405,0.007529366997207915,0.0026090576724756426,238.64052869079444,0.015821507535560886,477.28,86.97587358026091,0.015219535382583051,6.064069684035928,2.0213565613453097,10
