Day,Month,Compared to Max Visitor Days Value
Sunday,Jan,74%
Sunday,Feb,100%
Sunday,Mar,50%
Sunday,Apr,0%
Sunday,May,0%
Sunday,Jun,0%
Sunday,Jul,0%
Sunday,Aug,25%
Sunday,Sep,64%
Sunday,Oct,41%
Sunday,Nov,70%
Sunday,Dec,39%
Saturday,Jan,25%
Saturday,Feb,58%
Saturday,Mar,69%
Saturday,Apr,0%
Saturday,May,0%
Saturday,Jun,0%
Saturday,Jul,0%
Saturday,Aug,47%
Saturday,Sep,24%
Saturday,Oct,26%
Saturday,Nov,71%
Saturday,Dec,28%
Friday,Jan,37%
Friday,Feb,69%
Friday,Mar,67%
Friday,Apr,0%
Friday,May,0%
Friday,Jun,0%
Friday,Jul,0%
Friday,Aug,15%
Friday,Sep,49%
Friday,Oct,32%
Friday,Nov,35%
Friday,Dec,35%
Thursday,Jan,27%
Thursday,Feb,35%
Thursday,Mar,61%
Thursday,Apr,0%
Thursday,May,0%
Thursday,Jun,0%
Thursday,Jul,0%
Thursday,Aug,13%
Thursday,Sep,50%
Thursday,Oct,69%
Thursday,Nov,39%
Thursday,Dec,19%
Wednesday,Jan,24%
Wednesday,Feb,31%
Wednesday,Mar,33%
Wednesday,Apr,0%
Wednesday,May,0%
Wednesday,Jun,0%
Wednesday,Jul,0%
Wednesday,Aug,27%
Wednesday,Sep,50%
Wednesday,Oct,58%
Wednesday,Nov,44%
Wednesday,Dec,19%
Tuesday,Jan,37%
Tuesday,Feb,61%
Tuesday,Mar,39%
Tuesday,Apr,0%
Tuesday,May,0%
Tuesday,Jun,0%
Tuesday,Jul,0%
Tuesday,Aug,5%
Tuesday,Sep,65%
Tuesday,Oct,44%
Tuesday,Nov,33%
Tuesday,Dec,15%
Monday,Jan,56%
Monday,Feb,79%
Monday,Mar,92%
Monday,Apr,0%
Monday,May,0%
Monday,Jun,0%
Monday,Jul,0%
Monday,Aug,10%
Monday,Sep,20%
Monday,Oct,43%
Monday,Nov,27%
Monday,Dec,49%
