Day,Month,Compared to Max Visitor Days Value
Sunday,Jan,28%
Sunday,Feb,87%
Sunday,Mar,51%
Sunday,Apr,0%
Sunday,May,0%
Sunday,Jun,0%
Sunday,Jul,0%
Sunday,Aug,0%
Sunday,Sep,0%
Sunday,Oct,0%
Sunday,Nov,0%
Sunday,Dec,0%
Saturday,Jan,35%
Saturday,Feb,84%
Saturday,Mar,59%
Saturday,Apr,0%
Saturday,May,0%
Saturday,Jun,0%
Saturday,Jul,0%
Saturday,Aug,0%
Saturday,Sep,0%
Saturday,Oct,0%
Saturday,Nov,0%
Saturday,Dec,0%
Friday,Jan,16%
Friday,Feb,94%
Friday,Mar,37%
Friday,Apr,0%
Friday,May,0%
Friday,Jun,0%
Friday,Jul,0%
Friday,Aug,0%
Friday,Sep,0%
Friday,Oct,0%
Friday,Nov,0%
Friday,Dec,0%
Thursday,Jan,13%
Thursday,Feb,70%
Thursday,Mar,15%
Thursday,Apr,0%
Thursday,May,0%
Thursday,Jun,0%
Thursday,Jul,0%
Thursday,Aug,0%
Thursday,Sep,0%
Thursday,Oct,0%
Thursday,Nov,0%
Thursday,Dec,0%
Wednesday,Jan,38%
Wednesday,Feb,98%
Wednesday,Mar,0%
Wednesday,Apr,0%
Wednesday,May,0%
Wednesday,Jun,0%
Wednesday,Jul,0%
Wednesday,Aug,0%
Wednesday,Sep,0%
Wednesday,Oct,0%
Wednesday,Nov,0%
Wednesday,Dec,0%
Tuesday,Jan,32%
Tuesday,Feb,100%
Tuesday,Mar,6%
Tuesday,Apr,0%
Tuesday,May,0%
Tuesday,Jun,0%
Tuesday,Jul,0%
Tuesday,Aug,0%
Tuesday,Sep,0%
Tuesday,Oct,0%
Tuesday,Nov,0%
Tuesday,Dec,0%
Monday,Jan,34%
Monday,Feb,66%
Monday,Mar,12%
Monday,Apr,0%
Monday,May,0%
Monday,Jun,0%
Monday,Jul,0%
Monday,Aug,0%
Monday,Sep,0%
Monday,Oct,0%
Monday,Nov,0%
Monday,Dec,0%
