Category,Share of Spend %,Avg. Spend
Accommodations,0.33054534544692393,590.0534390222753
Dining and Nightlife,0.27392615794892283,95.05026711832524
Grocery and Dept Stores,0.14808613429768763,95.86761815297913
Specialty Retail,0.06669464383997555,106.50500337768237
Service Stations,0.05550825938620656,55.71119935211294
Personal Care and Services,0.040151077497072175,151.73866733055266
Clothing and Accessories,0.029689998713985317,121.08517136670926
"Leisure, Recreation and Entertainment",0.02629175762308211,198.23174529705406
Fast Food Restaurants,0.025819815613070486,25.695894401837723
Transportation,0.0028557170412014535,29.325119779586792
All Others,0.00043109259187197444,38.390000343322754
