Demographic,Group/Level,Share of Demographic
Age,45-64 years old,38.70%
Age,25-44 years old,25.53%
Age,65+ years old,23.80%
Age,16-24 years old,11.96%
Education Level,High School,50.85%
Education Level,Bachelors,42.81%
Education Level,Graduate,6.34%
Ethnicity,White,66.57%
Ethnicity,Hispanic,19.91%
Ethnicity,Asian,9.55%
Ethnicity,Black,2.97%
Ethnicity,Other,0.99%
Household,1-2 people,48.64%
Household,3-5 people,43.14%
Household,6+ people,8.21%
Income,$150K+,30.37%
Income,$0-$50K,22.66%
Income,$100K-$150K,20.13%
Income,$75K-$100K,13.95%
Income,$50K-$75K,12.89%
