report_period_start,report_period_end,dimension,segment,share_pct
2025-01-01,2025-12-31,age,16-24,11.31
2025-01-01,2025-12-31,age,25-44,26.43
2025-01-01,2025-12-31,age,45-64,36.89
2025-01-01,2025-12-31,age,65+,25.37
2025-01-01,2025-12-31,income,$0-$50K,25.32
2025-01-01,2025-12-31,income,$50K-$75K,13.81
2025-01-01,2025-12-31,income,$75K-$100K,14.77
2025-01-01,2025-12-31,income,$100K-$150K,19.88
2025-01-01,2025-12-31,income,$150K+,26.22
2025-01-01,2025-12-31,household_size,1-2,49.87
2025-01-01,2025-12-31,household_size,3-5,42.00
2025-01-01,2025-12-31,household_size,6+,8.14
