Page Title,Page Views,Page Path
Visit Dana Point | The Best Beaches in Southern California,8117,/
Things to Do in Dana Point | Explore Dana Point,2871,/things-to-do/
Dana Point Trolley | Visit Dana Point,1638,/dana-point-trolley/
Events from February 6 – February 14 – Visit Dana Point,1611,/events/
Offers - Visit Dana Point,1608,/offers/
"Best Year-Round Whale Watching | Dana Point, California",1389,/things-to-do/harbor-ocean-adventure/dana-point-whale-watching/
Dana Point Hiking | Find Your Trail,1329,/things-to-do/onshore-activities/hiking/
Dana Point Hotels | All Places to Stay,1120,/lodging/
Dana Point Shopping | Shop Local,1120,/things-to-do/shopping/
Dana Point Restaurants | Dining,1068,/dana-point-restaurants/
Dana Point Harbor Farmers Market,986,/event/dana-point-harbor-farmers-market/724/
Calendar - Visit Dana Point,937,/events/calendar/
55th Annual Festival of Whales,766,/event/55th-annual-festival-of-whales/738/
Strands Beach,702,/listing/strands-beach/48/
Why Visit Dana Point? | Visit Dana Point,680,/plan/why-dana-point/
Baby Beach,631,/listing/baby-beach/11/
Local Attractions - Visit Dana Point,616,/things-to-do/local-attractions/
Ocean View Restaurants in Dana Point | Visit Dana Point,530,/dana-point-restaurants/ocean-view-restaurants/
Art & Museums in Orange County | Visit Dana Point,507,/things-to-do/arts-culture/
Dana Point Headlands Conservation Area,499,/listing/dana-point-headlands-conservation-area/298/
Meetings & Events | Visit Dana Point,499,/meetings/
Get on the Water | Dana Point Kayaking & Paddleboarding,472,/things-to-do/harbor-ocean-adventure/kayaking-paddleboarding/
Dana Point Wedding Venues | Visit Dana Point,472,/weddings/
Best Beaches in Dana Point,455,/things-to-do/harbor-ocean-adventure/dana-point-beaches/
"Festival of Whales in Dana Point, CA",428,/blog/post/festival-of-whales-in-dana-point-ca/
Dana Point Bars and Nightlife | Find Bars in Dana Point,417,/dana-point-restaurants/bars-nightlife/
Salt Creek Beach,417,/listing/salt-creek-beach/245/
Contact Us - Visit Dana Point,413,/contact-us/
Candlelight Concerts by Fever,399,/event/candlelight-concerts-by-fever/730/
404,335,/lantern-district/
Ocean Institute,330,/listing/ocean-institute/99/
Dana Point Surfing | Catch Your Wave,307,/things-to-do/harbor-ocean-adventure/dana-point-surfing/
Newsletter,293,/newsletter/
Dana Point News & Media | Visit Dana Point,292,/news-media/
Valentine’s Day in Dana Point: Romantic Getaways & Dining,284,/blog/post/romance-by-the-coast-valentines-day-in-dana-point/
180blu,283,/listing/180blu/2/
About Visit Dana Point - Visit Dana Point,281,/meet-the-team/
A Guide to Dana Point's Beaches,278,/blog/post/a-guide-to-dana-points-beaches/
Dana Point Farmers Market,273,/event/dana-point-farmers-market/723/
Doheny State Beach,256,/listing/doheny-state-beach/239/
Capt. Dave's Dolphin & Whale Watching Safari,254,/listing/capt-daves-dolphin-&-whale-watching-safari/29/
Laguna Cliffs Marriott Resort & Spa,245,/listing/laguna-cliffs-marriott-resort-&-spa/79/
Dana Point Hotels on the Beach | Hotels With Ocean View,228,/lodging/dana-point-hotels-on-the-beach/
"The Ritz-Carlton, Laguna Niguel",227,/listing/the-ritz-carlton-laguna-niguel/140/
Dana Point Harbor,225,/listing/dana-point-harbor/42/
Health & Wellness | Dana Point Spas | Dana Point Yoga,223,/things-to-do/onshore-activities/spa-wellness/
Blufftop Trail,212,/listing/blufftop-trail/268/
Waldorf Astoria Monarch Beach Resort & Club,212,/listing/waldorf-astoria-monarch-beach-resort-&-club/96/
Plan,208,/plan/
dana point trails,207,/blog/post/dana-point-hiking-and-walking-trails/
Bike Rentals - Visit Dana Point,207,/things-to-do/onshore-activities/bike-rental/
Marine Life in Dana Point - Visit Dana Point,195,/things-to-do/marine-life-in-dana-point/
Dana Wharf Sportfishing and Whale Watching,192,/listing/dana-wharf-sportfishing-and-whale-watching/51/
Capistrano Beach,187,/listing/capistrano-beach/26/
Family-Friendly Restaurants | Visit Dana Point,184,/dana-point-restaurants/family-friendly/
Doheny Surf,172,/listing/doheny-surf/53/
Catalina Express,163,/listing/catalina-express/165/
The Spa at Laguna Cliffs Resort,159,/listing/the-spa-at-laguna-cliffs-resort/143/
Outdoor Recreation - Visit Dana Point,158,/things-to-do/outdoor-recreation/
Easter Brunch Buffet,157,/event/easter-brunch-buffet/743/
Search,157,/search/
Fine Dining in Orange County | Visit Dana Point,151,/dana-point-restaurants/fine-dining/
Best Western Plus Dana Point Inn By The Sea,151,/listing/best-western-plus-dana-point-inn-by-the-sea/18/
Dana Point Fishing | Dana Point Sportfishing,145,/things-to-do/harbor-ocean-adventure/fishing/
About Orange County California | Visit Dana Point,139,/orange-county-california/
Sunsets Bar and Grill,138,/listing/sunsets-bar-and-grill/191/
Best Coffee Shops in Dana Point,135,/blog/post/best-coffee-shops-dana-point/
Ribbon Cutting: The White Rooster,134,/event/ribbon-cutting:-the-white-rooster/740/
Blog,133,/blog/
Mission San Juan Capistrano,132,/listing/mission-san-juan-capistrano/261/
Romance by the Coast: Valentine's Day in Dana Point,131,/includes/plugins/nav/preview_civs/
Job Openings - Visit Dana Point,129,/meet-the-team/job-openings/
Longboard Rooftop Lounge,127,/listing/longboard-rooftop-lounge/97/
Hilton Garden Inn Dana Point Doheny Beach,122,/listing/hilton-garden-inn-dana-point-doheny-beach/54/
Premier Southern California Golf | Visit Dana Point,122,/things-to-do/onshore-activities/golfing/
Palisades Gazebo Park,117,/listing/palisades-gazebo-park/345/
Spas - Visit Dana Point,116,/things-to-do/spas/
Dana Point Resorts | Book Your Stay,112,/lodging/dana-point-resorts/
Dana Wharf Sunset Wine Cruise,109,/event/dana-wharf-sunset-wine-cruise/695/
Boating & Fishing - Visit Dana Point,105,/things-to-do/harbor-ocean-adventure/boating-fishing/
Chart House Restaurant,104,/listing/chart-house-restaurant/32/
Listing,103,/listing/strands-beach/48/
Listing,102,/listing/baby-beach/11/
Cars & Coffee on the Wharf,99,/event/cars-&-coffee-on-the-wharf/736/
Monarch Bay Beach Club,99,/listing/monarch-bay-beach-club/93/
The Beachfront Inn & Suites,99,/listing/the-beachfront-inn-&-suites/230/
Why Visit Dana Point? | Visit Dana Point,97,/includes/plugins/nav/preview_civs/
Salt Creek Trail,97,/listing/salt-creek-trail/248/
Wind & Sea Restaurant,96,/listing/wind-&-sea-restaurant/278/
Books & Blooms- Book Lovers Market,93,/event/books-&-blooms-book-lovers-market/737/
Headlands Conservation Area Trail System,93,/listing/headlands-conservation-area-trail-system/283/
404,89,/events/summary/
Listing,88,/listing/capt-daves-dolphin-&-whale-watching-safari/29/
Harbor & Ocean Adventure,88,/things-to-do/harbor-ocean-adventure/
The Top 6 Things To Do In Dana Point,85,/blog/post/the-top-6-things-to-do-in-dana-point/
RAYA,85,/listing/raya/110/
Request for Proposal - Visit Dana Point,85,/request-for-proposal/
Dana Point Hotels | Best Hotels in Dana Point,80,/lodging/dana-point-hotels/
Listing,78,/listing/dana-point-headlands-conservation-area/298/
Lantern's Edge,78,/listing/lanterns-edge/153/
It's Festival Season in Dana Point!,75,/blog/post/its-festival-season-in-dana-point/
Raya Valentine's Dinner,74,/event/raya-valentines-dinner/729/
Wyland’s Whale and Dolphin Adventure Art Lessons in the Wild,72,/event/wyland’s-whale-and-dolphin-adventure-art-lessons-in-the-wild/689/
Hilton Vacation Club Riviera Beach & Shores,71,/listing/hilton-vacation-club-riviera-beach-&-shores/190/
Listing,71,/listing/laguna-cliffs-marriott-resort-&-spa/79/
Listing,70,/listing/ocean-institute/99/
Coastal Explorer USA,69,/listing/coastal-explorer-usa/371/
"""Family Getaway to Dana Point""",68,/blog/post/family-getaway-to-dana-point/
"Chit, Chaat & Chai",68,/event/chit-chaat-&-chai/742/
10 Free Things to Do in Dana Point,67,/blog/post/10-free-things-to-do-in-dana-point/
Dana Point's History of Authenticity,67,/blog/post/dana-points-history-of-authenticity/
Best Western Plus Marina Shores Hotel,67,/listing/best-western-plus-marina-shores-hotel/19/
Wheel Fun Rentals & Board Rentals,67,/listing/wheel-fun-rentals-&-board-rentals/155/
Expert Active,66,/listing/expert-active/303/
The Beachfront Inn & Suites at Dana Point,66,/listing/the-beachfront-inn-&-suites-at-dana-point/326/
Onshore Activites,65,/things-to-do/onshore-activities/
OC Restaurant Week 2026,64,/event/oc-restaurant-week-2026/750/
Listing,63,/listing/dana-wharf-sportfishing-and-whale-watching/51/
Girl in the Curl Surf Shop & Surfing School,63,/listing/girl-in-the-curl-surf-shop-&-surfing-school/59/
