report_period_start,report_period_end,page_title,page_views,page_path
2025-01-01,2025-12-31,Visit Dana Point | The Best Beaches in Southern California,138582,/
2025-01-01,2025-12-31,Offers - Visit Dana Point,131057,/offers/
2025-01-01,2025-12-31,Dana Point Trolley | Visit Dana Point,41593,/dana-point-trolley/
2025-01-01,2025-12-31,Baby Beach - Visit Dana Point,38303,/what-to-do/baby-beach/
2025-01-01,2025-12-31,(not set),29712,/
2025-01-01,2025-12-31,Calendar - Visit Dana Point,28680,/calendar/
2025-01-01,2025-12-31,Things to Do in Dana Point | Explore Dana Point,26271,/things-to-do/
2025-01-01,2025-12-31,Concerts in the Park - Visit Dana Point,24996,/event/concerts-in-the-park-2025/2025-07-27/
2025-01-01,2025-12-31,Events from February 9 2019 – March 2 2019 – Visit Dana Point,23204,/events/
2025-01-01,2025-12-31,Things to Do in Dana Point | What to Do in Dana Point,20605,/things-to-do/
2025-01-01,2025-12-31,Dana Point Lantern District | Restaurants Shops & More,19903,/activities-and-things-to-do/dana-point-lantern-district/
2025-01-01,2025-12-31,OC Parks Summer Concert Series - Visit Dana Point,18262,/event/oc-parks-summer-concert-series/
2025-01-01,2025-12-31,4th of July Fireworks - Visit Dana Point,16182,/event/4th-of-july-fireworks-2025/
2025-01-01,2025-12-31,Dana Point Restaurants | Dining,15059,/dana-point-restaurants/
2025-01-01,2025-12-31,Doheny State Beach | Doheny SB | Visit Dana Point,14062,/what-to-do/doheny-state-beach/
2025-01-01,2025-12-31,Dana Point Hotels | All Places to Stay,13953,/lodging/
2025-01-01,2025-12-31,Dana Point Whale Watching | Whale Watching California,13737,/activities-and-things-to-do/dana-point-whale-watching/
2025-01-01,2025-12-31,Dana Strand Beach - Visit Dana Point,13706,/what-to-do/dana-strand-beach/
2025-01-01,2025-12-31,Ocean View Restaurants in Dana Point | Visit Dana Point,12971,/dana-point-restaurants/ocean-view-restaurants/
2025-01-01,2025-12-31,Concerts in the Park - Visit Dana Point,12658,/event/concerts-in-the-park/2024-07-14/
2025-01-01,2025-12-31,Best Beaches in Dana Point,12571,/activities-and-things-to-do/dana-point-beaches/
2025-01-01,2025-12-31,Palm Tree Music Festival - Visit Dana Point,11843,/event/palm-tree-festival/
2025-01-01,2025-12-31,Summer Concerts in the Park - Visit Dana Point,11337,/event/summer-concerts-in-the-park/2023-07-23/
2025-01-01,2025-12-31,Palm Tree Music Festival - Visit Dana Point,11251,/event/palm-tree-music-festival/
2025-01-01,2025-12-31,Best Year-Round Whale Watching | Dana Point California,10625,/activities-and-things-to-do/dana-point-whale-watching/
2025-01-01,2025-12-31,Dana Point Shopping | Dana Point Stores | Visit Dana Point,10595,/activities-and-things-to-do/shopping/
