Date,"Page Followers","Page Media Views","Reach","Page Views"
"April 3, 2026",,,,
"April 2, 2026",,,,
"April 1, 2026",99775,88,49,13
"March 31, 2026",99777,151,137,8
"March 30, 2026",99777,488,383,16
"March 29, 2026",99777,473,446,31
"March 28, 2026",99777,703,643,13
"March 27, 2026",99778,77,22,31
"March 26, 2026",99780,52,16,2
"March 25, 2026",99781,64,17,12
"March 24, 2026",99783,76,19,18
"March 23, 2026",99781,66,16,5
"March 22, 2026",99783,54,17,6
"March 21, 2026",99784,62,28,16
"March 20, 2026",99789,68,39,25
"March 19, 2026",99790,57,33,6
"March 18, 2026",99789,177,115,9
"March 17, 2026",99791,59,22,15
"March 16, 2026",99793,44,11,27
"March 15, 2026",99793,53,17,10
"March 14, 2026",99792,32,17,26
"March 13, 2026",99793,43,22,12
"March 12, 2026",99794,92,17,15
"March 11, 2026",99797,60,15,7
"March 10, 2026",99798,55,23,11
"March 9, 2026",99798,56,23,19
"March 8, 2026",99798,58,28,21
"March 7, 2026",99797,92,30,16
"March 6, 2026",99797,49,20,12
"March 5, 2026",99801,54,34,7
"March 4, 2026",99800,65,39,8
"March 3, 2026",99804,45,39,6
"March 2, 2026",99803,74,64,11
"March 1, 2026",99803,54,58,4
"February 28, 2026",99803,55,72,7
"February 27, 2026",99804,81,125,28
"February 26, 2026",99807,74,310,21
"February 25, 2026",99808,57,16,3
"February 24, 2026",99805,67,17,10
"February 23, 2026",99810,41,18,2
"February 22, 2026",99811,43,21,7
"February 21, 2026",99813,182,29,9
"February 20, 2026",99819,79,26,18
"February 19, 2026",99826,70,20,8
"February 18, 2026",99829,57,18,8
"February 17, 2026",99835,65,18,5
"February 16, 2026",99838,65,25,10
"February 15, 2026",99837,49,27,0
"February 14, 2026",99837,59,15,2
"February 13, 2026",99842,51,22,4
"February 12, 2026",99843,48,18,12
"February 11, 2026",99845,173,21,9
"February 10, 2026",99844,65,27,2
"February 9, 2026",99849,39,21,9
"February 8, 2026",99849,107,25,16
"February 7, 2026",99855,84,23,6
"February 6, 2026",99856,68,30,11
"February 5, 2026",99860,155,46,25
"February 4, 2026",99860,171,38,25
"February 3, 2026",99866,104,36,11
"February 2, 2026",99872,101,67,5
"February 1, 2026",99876,74,41,4
"January 31, 2026",99879,122,92,13
"January 30, 2026",99878,81,159,1
"January 29, 2026",99881,92,508,10
"January 28, 2026",99884,70,51,11
"January 27, 2026",99890,72,40,2
"January 26, 2026",99893,105,51,7
"January 25, 2026",99894,49,47,5
"January 24, 2026",99899,71,83,4
"January 23, 2026",99900,73,138,8
"January 22, 2026",99902,80,324,14
"January 21, 2026",99901,104,360,17
"January 20, 2026",99908,215,124,32
"January 19, 2026",99911,187,78,10
"January 18, 2026",99913,172,61,6
"January 17, 2026",99916,181,89,11
"January 16, 2026",99918,140,120,10
"January 15, 2026",99919,159,112,5
"January 14, 2026",99918,201,127,9
"January 13, 2026",99919,266,240,15
"January 12, 2026",99920,405,344,25
"January 11, 2026",99929,357,291,3
"January 10, 2026",99932,325,262,1
"January 9, 2026",99934,440,449,14
"January 8, 2026",99933,545,1102,3
"January 7, 2026",99932,881,723,20
"January 6, 2026",99938,862,724,3
"January 5, 2026",99937,851,632,31
"January 4, 2026",99938,788,609,15
"January 3, 2026",99948,625,419,9
"January 2, 2026",99947,916,605,3
"January 1, 2026",99948,1012,515,14
