Time,Sun Mar 22,Mon Mar 23,Tue Mar 24,Wed Mar 25,Thu Mar 26,Fri Mar 20,Sat Mar 21
"12:00 AM, -07:00 UTC",2107,2121,2138,2104,2228,2613,2642
"01:00 AM, -07:00 UTC",1474,1453,1516,1482,1532,1745,1865
"02:00 AM, -07:00 UTC",1381,1390,1394,1394,1452,1500,1558
"03:00 AM, -07:00 UTC",1597,1685,1678,1660,1658,1514,1548
"04:00 AM, -07:00 UTC",2151,2245,2246,2343,2271,1982,1801
"05:00 AM, -07:00 UTC",3192,3308,3285,3282,3338,2767,2608
"06:00 AM, -07:00 UTC",4935,5063,5018,5093,5111,4209,3892
"07:00 AM, -07:00 UTC",6345,6325,6324,6391,6474,6146,5785
"08:00 AM, -07:00 UTC",6783,6710,6667,6691,6760,6916,6863
"09:00 AM, -07:00 UTC",6774,6566,6544,6628,6646,7049,7136
"10:00 AM, -07:00 UTC",6824,6554,6491,6541,6689,6902,6999
"11:00 AM, -07:00 UTC",6805,6706,6615,6642,6826,6815,6925
"12:00 PM, -07:00 UTC",7170,6895,6833,6916,6900,6827,6989
"01:00 PM, -07:00 UTC",7244,7040,6934,6952,6981,7029,7094
"02:00 PM, -07:00 UTC",7158,7062,7030,7043,7064,7037,7218
"03:00 PM, -07:00 UTC",7301,7092,6999,7124,7127,6966,7218
"04:00 PM, -07:00 UTC",7208,7127,6983,7192,7124,7014,7249
"05:00 PM, -07:00 UTC",7236,7163,7141,7243,7050,6948,7152
"06:00 PM, -07:00 UTC",7326,7191,7134,7185,6966,6888,7154
"07:00 PM, -07:00 UTC",7403,7207,7192,7201,6965,6762,7215
"08:00 PM, -07:00 UTC",7266,7262,7140,7235,6962,6769,7199
"09:00 PM, -07:00 UTC",6607,6686,6533,6606,6543,6363,6474
"10:00 PM, -07:00 UTC",5062,5112,5112,5213,5474,5323,4877
"11:00 PM, -07:00 UTC",3247,3258,3333,3448,3818,3872,3234
