Time Posted,"Image URL","Instagram Post","Caption","Media Type (Image, Video, Carousel)","Engagement Rate","Engagements","Followers","Views","Reach","Likes","Comments","Saves","Shares","Linkin.bio"
"Dec 16, 2025 04:58:33 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18080868245139713-524e99f799ba3e.jpg","https://www.instagram.com/reel/DSWF_1yDwzh/","We LOVE seeing Dana Point all lit up this time of year✨🎄

In case you missed the boat parade of lights last weekend, you still have time to check out all the lights around our beautiful city, it’s truly something special. 

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","video","12%","2401","24231","40458","30281","2177","65","159","1171",
"Dec 9, 2025 02:45:41 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18115476274573491-3dad4268581ff4.jpg","https://www.instagram.com/p/DSD1k5Ojwtl/","The Harbor's 50th Annual Boat Parade of Lights is almost here!✨🎄☃ Our favorite way to kick off this holiday season!

When: December 12th-14th, starting at 6:30pm, with the theme Golden Jubilee - Carol of the Boats. 

The public is welcome to view the parade from the boardwalk and park areas, reserve a table with a view from one of the harbor’s waterfront restaurants, or hop aboard a special boat parade charter. We can't wait to see you there!🎅🏻❄️

Parking is available at the harbor on a first come, first serve basis. For more information, please visit https://danapointharbor.com/plan-your-visit/parking/ . 

#danapoint #mydanapoint #danapointharbor #visitdanapoint","image","4.2%","151","24207","8616","5162","129","3","19","66",
"Dec 4, 2025 11:20:13 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17851162119598517-2b045b5e507e0c.jpg","https://www.instagram.com/reel/DR2llwoEuoF/","Welcome to the neighborhood, Kaantique!🎉✂️ — a women’s fashion boutique striving for fair trade and sustainable goods. Both trendy and versatile, come shop all things clothing, jewelry, handbags, and accessories. Oh… and they have dog treats too! 

We’re happy to have you here in Dana Point! Located in La Plaza Park. #shoplocal #visitdanapoint #mydanapoint #danapoint","video","6.6%","140","24181","3429","2291","133","2","5","11",
"Nov 27, 2025 08:00:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18160069684399542-ff1c2e05d8f3e4.jpg","https://www.instagram.com/p/DRkNrj1gWSA/","Happy Thanksgiving from Visit Dana Point! 🦃🌊🍂
We’re grateful for the people, places, and moments that make this coastal community so special. From the beauty of the ocean to the kindness of those who call Dana Point home — thank you for being part of what makes this place unforgettable.

Wishing you a peaceful holiday filled with gratitude, connection, and a little California sunshine🌞","carousel","15%","289","24167","4622","1977","263","1","10","14",
"Nov 21, 2025 11:24:23 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17997757763697168-96c95e13678c2e.jpg","https://www.instagram.com/p/DRVIO3zAe3Z/","CALLING ALL VOLUNTURKEYS!🦃 The @danapointturkeytrot  is looking for volunteers on Wednesday, November 26th and on Thanksgiving Day, Thursday, November 27th in the Dana Point Harbor. 

There are multiple shift times available. To volunteer, please visit this link: 
https://raceroster.com/events/2025/102177/2025-dana-point-turkey-trot/volunteer","carousel","4.0%","44","24152","2973","1107","41","3",,,
"Oct 17, 2025 11:00:34 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17857953321468273-60817cd0840ad1.jpg","https://www.instagram.com/p/DP620VbEoI9/","Happy Friday, Dana Point!☀️

#visitdanapoint #mydanapoint #danapoint #danapointharbor #strandsbeachdanapoint","carousel","13%","199","23985","4852","1528","191","2","5","1",
"Oct 9, 2025 02:46:36 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17972882489947843-49653aa74ebc26.jpg","https://www.instagram.com/reel/DPmqQpHEg79/","Step inside @wineexperiencedp 🍷 and discover 25+ wines on tap, curated cheese boards, and elevated bites. The perfect new spot in the heart of the Lantern District to sip, savor, and enjoy the moment. 

#danapoint #visitdanapoint #mydanapoint","video","12%","306","23938","7240","4090","276","4","26","170",
"Oct 8, 2025 01:37:32 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18532097404007798-90f9c0b2b88061.jpg","https://www.instagram.com/p/DPj9oM6kvhN/","Lunch with a view? @wamonarchbeach has you covered. Head into @aveotableandbar for delicious, curated local favorites serving breakfast, lunch, and dinner. 

Hours: 
Breakfast: 7am-11am
Lunch: 11am-5pm
Dinner: 5pm-9pm 
*hours subject to change*

#danapoint #visitdanapoint #mydanapoint #waldorfmonarchbeachresort","carousel","6.2%","101","23935","4885","1617","89","2","4","6",
"Oct 6, 2025 11:33:09 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17862986964475746-a3f453ed83e629.jpg","https://www.instagram.com/reel/DPekBmViH2j/","We had the best time hosting our Fall Taste & Tour event last week in partnership with the @danapointchamber and the @cityofdanapoint !

Thank you to everyone that joined us and a huge thank you to our restaurant partners who all went above and beyond to showcase their offerings🙌🏻😊
@coffeeimporters 
@wineexperiencedp 
@saltcreekgrilleoc 
@hookandanchorrestaurant 
@frisbycellars 

#danapoint #mydanapoint #visitdanapoint","video","4.6%","136","23922","4248","3054","121","12","3","4",
"Sep 3, 2025 03:55:50 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18041797067378188-fbf758670c3712.jpg","https://www.instagram.com/reel/DOKFNsdkm3J/","Forever chasing Dana Point sunsets🌅 

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","video","11%","302","23819","4853","3527","289","6","7","100",
"Aug 20, 2025 12:36:51 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18088739560806723-157cfab6491898.jpg","https://www.instagram.com/p/DNlru0shxAH/","Come join us at the Dana Point Classic Car Show this Sunday, August 24th on Del Prado Avenue from 10am-3pm!🚗😎

A day full of fun for the whole family! There will be 300+ classic and custom cars, 50+ vendors, food trucks and local restaurant participants, drinks on the street, live music, and MORE!☀

For more information, please visit danapointcarshow.com

#visitdanapoint #mydanapoint #danapoint","carousel","7.4%","267","23755","14251","3583","207","5","9","44",
"Aug 15, 2025 02:17:26 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17979945182901197-64d333d73d5a98.jpg","https://www.instagram.com/reel/DNY-SXHSYZA/","Congratulations to the @ritzcarltonlagunaniguel on the grand opening of their beautifully renovated spa! 🧖‍♀️✨ Where luxury, relaxation, and rejuvenation come together. Get ready to unwind in style. 

#visitdanapoint #danapoint #mydanapoint #ritzcarltonspa #ritzcarltonlagunaniguel","video","6.4%","356","23719","9774","6566","330","19","7","65",
"Aug 6, 2025 11:46:34 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18058605584372874-c2d3ac7566855a.jpg","https://www.instagram.com/reel/DNBh8LgSCU4/","We had a BLAST at @saltcreekgrilleoc TRIVIA NIGHT last night🤩

FUN for the WHOLE FAM! Delicious food, great atmosphere, and Family Feud trivia... what could be better?! Join in on the fun every Tuesday night from 6pm-8pm💃🏼

#visitdanapoint #mydanapoint #danapoint #saltcreekgrilleoc","video","7.0%","182","23655","5163","3739","157","15","10","79",
"Jul 30, 2025 10:30:29 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17960822321957916-83971c5f4c3903.jpg","https://www.instagram.com/p/DMvYk6iyHHZ/","Grab a @philzcoffee and take a morning stroll at our beautiful Headlands trail☀️ 

#visitdanapoint #mydanapoint #danapoint","carousel","10%","175","23611","5304","1718","168","4","2","1",
"Jul 18, 2025 11:00:55 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18053274176124566-9fe477a4ad508b.jpg","https://www.instagram.com/p/DMQihTDyA4s/","We had the best day yesterday hosting Flight Centre Globals Superfam with @visitcalifornia 👏🏻🤩

Thank you to the incredible teams at @danawharf , @jimmys_famous , and @ritzcarltonlagunaniguel for all your help in making this event so successful! We couldn’t have done it without you!

#visitdanapoint #mydanapoint #danapoint","carousel","12%","501",,"11668","4211","479","8","7","7",
"Jul 10, 2025 12:05:56 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18063022175238406-e86b149f7a99e7.jpg","https://www.instagram.com/p/DL8Dmc6BK5B/","Perched above the Pacific with front-row views of the Dana Point Harbor, @lagunacliffs is where coastal charm meets family-friendly luxury. From soothing spa days to harbor strolls just steps away, there’s something magical about being this close to the ocean’s edge☀🌊

📸: @waterproject 

#visitdanapoint #danapoint #mydanapoint","carousel","7.3%","313",,"16411","4315","258","7","17","31",
"Jul 9, 2025 12:35:07 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17913039723141890-991a5917467506.jpg","https://www.instagram.com/p/DL5iJWPBSNK/","Currently living our best summer🏖️😎🏄

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","carousel","12%","366",,"8329","3081","326","8","8","24",
"Jun 24, 2025 11:51:59 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17870629632387388-33c185b46c1b74.jpg","https://www.instagram.com/p/DLS1SVAhabq/","Summer has arrived and we are LOVING it☀😎🏄

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","carousel","11%","109",,"4047","985","102","2",,"5",
"Jun 20, 2025 10:33:26 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18366099151183444-8c81c67a9829e7.jpg","https://www.instagram.com/p/DLIZHdwP4r4/","Huge shoutout to 33 North at @wamonarchbeach for winning the Forbes Travel Guide's 2025 Hotel Star Bars award! 

This award recognizes Star-Rated hotels and their bars for exceptional performance on incognito inspection standards related to the quality of the beverage program, presentation, and luxurious service. 

We are so lucky to be partnered with such an incredible resort. Congratulations! 

#visitdanapoint #mydanapoint #danapoint","image","1.7%","19",,"3609","1184","17",,"2","1",
"Jun 6, 2025 10:01:20 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18475334887069622-160bb838796c65.jpg","https://www.instagram.com/reel/DKkSRi-tdKr/","Reporting live from Dana Point🚨A beautiful sunny weekend awaits😎☀ Come see it for yourself!

#visitdanapoint #mydanapoint #danapoint","video","9.6%","365",,"6840","4340","353","5","7","50",
"Jun 5, 2025 12:51:01 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18070925857789754-4be185a65920b9.jpg","https://www.instagram.com/p/DKiA8CcSZvj/","Everyone meet our newest team member, Charlie🐶🐾 

Skills include excessive tail wags and puppy dog eyes🥹 We’re getting a lot done over here! 

#officedoglife #officepuppy #visitdanapoint #mydanapoint #danapoint","image","9.9%","210",,"7279","2240","198","9","3","12",
"May 29, 2025 10:49:28 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18327598159206844-f91815b5b284d9.jpg","https://www.instagram.com/p/DKPxduhBtmI/","🧭 Join the adventure! The Dana Point Scavenger Hunt kicks off next week and we’re proud to be a part of it!

📍 Explore 10 iconic locations
📸 Snap pics for a chance to win prizes
🌊 Learn fun local and historical facts along the way

Let’s celebrate the spirit of our beautiful coastal town and make some memories!

🗓️ Start anytime between June 1 and June 30
🔗 Participation details at StandUpToTrash.com/scavenger-hunt

#DanaPointScavengerHunt #ExploreDanaPoint #danapoint #mydanapoint","carousel","4.5%","53",,"4687","1187","41","3","5","4",
"May 23, 2025 03:13:02 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18072650776912455-40888132132d66.jpg","https://www.instagram.com/p/DKAy20YBdFu/","Long weekend mode: ACTIVATED!😎 Memorial Day weekend is finally here!☀

Time to honor, celebrate, and turn up the fun! However you choose to enjoy the long weekend, Dana Point has something for everyone! 

Don't forget- the Dana Point Summer trolley is back up and running starting today!🚎Catch a FREE ride and hop on and off to get to your favorite spots! We can't wait to see you all!

#visitdanapoint #mydanapoint #danapoint","image","8.0%","234",,"6150","3131","222","6","6","16",
"May 21, 2025 09:11:15 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18139757749393472-2cecab43c93794.jpg","https://www.instagram.com/p/DJ6_3ZYhtH9/","The Dana Point Summer Trolley is back!!! Starting this Friday, May 23rd-September 1st, come ride with us, all Summer long!🚎😎

Visit our link in bio for the 2025 trolley guide and everything you need to know to get around Dana Point this Summer!

#visitdanapoint #mydanapoint #danapoint","carousel","9.2%","370",,"8293","4010","288","6","8","68",
"May 9, 2025 10:01:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18381689302186862-874cf91aaa636b.jpg","https://www.instagram.com/p/DJcMFjQpdM9/","This is how we Friday in Dana Point🏄‍♂️🤙

#visitdanapoint #danapoint #mydanapoint","carousel","11%","154",,"3571","1410","146","2","2","4",
"May 1, 2025 10:00:37 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18100462069532584-27471e42998edb.jpg","https://www.instagram.com/p/DJHlndVvqeO/","Happy May from Visit Dana Point! We have a lot of exciting events happening this month whether your local or just visiting, Dana Point is the place to be!☀

🗓️ Visit our #linkinbio for a full calendar of events in the community and at our local resorts.

#visitdanapoint #mydanapoint #danapoint","carousel","5.4%","158",,"6639","2929","93","4","16","45",
"Apr 30, 2025 04:25:59 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18046106150386485-24e39c09dd1d1e.jpg","https://www.instagram.com/reel/DJFs3aTyCOX/","Our little slice of coastal paradise🏝💛

#visitdanapoint #mydanapoint #danapoint","video","15%","542",,"5283","4082","515","9","18","54",
"Apr 25, 2025 02:00:24 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18092838229515110-210f89b493b031.jpg","https://www.instagram.com/p/DI4kSY1MpkC/","The #redomarket is back this Sunday in Dana Point!😎☀ 4 blocks of Del Prado filled with 200+ amazing vendors, tasty food, live music, and fun for the whole fam. 🛍️🎶🍔 Come sip, shop, and stroll!

This event is on Del Prado Avenue this Sunday, April 27th from 9am-4pm. Parking is limited, so make sure to plan ahead!

 #visitdanapoint #mydanapoint #danapoint","carousel","5.6%","170",,"5753","3063","132","2","1","35",
"Apr 23, 2025 06:00:22 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18082892947631222-8797333224a85c.jpg","https://www.instagram.com/p/DIz2KJ1hAiS/","The countdown is on for the #calwinefest in just TWO days! 

This two day event starts on Friday, April 25th-26th. Yes, its a two day event and we cannot wait! Head to the @calwinefest link in bio to get your tickets before they sell out🍷💃 See you there!

#californiawinefestival #visitdanapoint #mydanapoint #danapoint","carousel","6.7%","104",,"3817","1556","82",,"8","14",
"Apr 18, 2025 06:00:41 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18051955181464003-5d4069e4d0c178.jpg","https://www.instagram.com/reel/DIm-KH5qD60/","Sunsets in Dana Point are the best in our book!🌅 #visitdanapoint #mydanapoint #danapoint 

📸: @waterproject","video","14%","516",,"5785","4324","494","6","16","73",
"Apr 17, 2025 09:01:03 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17848927500416991-bd67d79178618b.jpg","https://www.instagram.com/p/DIjbq63qMTI/","Easter brunch with ocean views? Count us in! @lagunacliffs is offering a memorable Easter brunch experience featuring an elegant buffet of chef's creations and even a visit from the Easter Bunny himself🥰🐰 Enjoy live entertainment and activities for kids this Sunday!

Reservations available from 10am-2pm.

#visitdanapoint #mydanapoint #danapoint","carousel","7.3%","96",,"2784","1312","87","1","1","7",
"Apr 16, 2025 06:00:16 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18044359280386652-2abda5b1928162.jpg","https://www.instagram.com/p/DIh0lZVJ9yd/","Our friends at @wamonarchbeach have lots of exciting Easter happenings this year!🐰🥂 Come celebrate Easter in style with multiple family-friendly experiences they are offering:

🐣Grand Lawn Easter Egg Hunt: Start your celebration by making everlasting moments together as you hunt for eggs as a family, and delight in spring-inspired festivities available all morning long including bounce houses, face painting, a balloon artist, and photo-ops with the Easter Bunny! Hunting begins at 9:30am-12pm.

AVEO Table+Bar: Celebrate Easter with a festive brunch buffet at AVEO Table+Bar. Dine on the outdoor terrace and explore an expansive spread of culinary offerings.. Reservations available from 9:30am-2:30pm.

Bourbon Steak: Enjoy and exclusive prix fixe menu showcasing a selection of savory starters, signature entrees, brunch-inspired dishes, handcrafted desserts, and a glass of Champagne for a festive flair. Reservations available for brunch from 11:00am-4:00pm.

Monarch Bay Beach Club: Dine just steps from the surf and sand and enjoy a seaside Easter Brunch or dinner experience and enjoy Chef Seth’s coastal-inspired Easter specials of savory creations from both land and sea. Reservations available for brunch from 10:30am-2:30pm, dinner from 2:30pm-9:00pm.

Club 19: Enjoy a casual breakfast experience on Easter Sunday with a savory a la carte menu, complimented by a range of festive mimosas and other libations. Dine on our outdoor patio with ocean and golf course views or gather together in the comfort of our indoor dining room in front of our cozy fireplace. Reservations available from 8:00am-12:00pm.

#visitdanapoint #mydanapoint #danapoint","carousel","6.0%","71",,"2622","1175","61","3","3","4",
"Apr 16, 2025 10:00:22 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17970714701728342-5ead44bfdf0f73.jpg","https://www.instagram.com/p/DIg9qdwsj3D/","The very first baby grey whale of the season was spotted by our friends at @danawharf on Sunday!🐋 

""Captain Brandon on board the Dana Pride spotted two blows in front of San Juan Rock. At last, our first Gray Whale cow/calf pair was heading north in front of the Dana Point Headlands. Seeing the blow from the mom (cow) and then the tiny “puff” from the calf delighted all onboard! This pair stayed very close to shore, and we relocated them off Aliso Canyon and now they seemed to have a Coastal Bottlenose Dolphin Escort leading the way. We wished this pair well as we left them off Victoria Beach.""

#danawharfwhalewatching #danapoint #mydanapoint #visitdanapoint","carousel","8.1%","90",,"2395","1107","88",,,"2",
"Apr 15, 2025 01:28:13 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18359317672182116-52659cc9121fa3.jpg","https://www.instagram.com/p/DIewp1MhJ-q/","We're so excited that Trestles Beach was selected to host surfing at the #LA28 Olympics! Congrats to the City of San Clemente and State Parks. Go South Orange County!🏄🌊

#visitdanapoint #mydanapoint #danapoint","image","9.1%","317",,"8279","5372","287","13","17","172",
"Apr 12, 2025 10:00:17 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18041148716575124-249064f67dafbd.jpg","https://www.instagram.com/p/DIWqeXXp06O/","Come celebrate Easter with ocean views at @ritzcarltonlagunaniguel with multiple dining experiences you won't want to miss! 

👀...maybe a visit from the Easter bunny too😉🐰

🥂Easter Brunch in RAYA: Indulge in Easter Brunch featuring an elevated four-course menu. Jamon Eggs Benedict, Wagyu Steak & Eggs, and Coconut French Toast are just a few delicious items offered at this special brunch by the ocean. Reservations available from 12:00pm-2:30pm.

🥞Easter Brunch Buffet: Allow the resort's talented culinary team to prepare an indulgent brunch buffet featuring a display of tempting palate-pleasers. Enjoy a special appearance by the Easter Bunny and additional experiences for children. Reservations available from 10:30am-1:00pm. 

#visitdanapoint #mydanapoint #danapoint","carousel","8.3%","306",,"5838","3684","268","4","8","26",
"Apr 11, 2025 10:00:16 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17951633462814454-0c25ad47385ecc.jpg","https://www.instagram.com/p/DIUFrRbtMau/","Happy #NationalPetDay!!🐾🩷 We're pawsitive your pet will love Dana Point just as much as we do!

Make sure to stop by @thedoggiebarkery to give your furry friends a treat on your walk in the harbor!

📸: @gossipinggoldens 
#visitdanapoint #mydanapoint #danapoint","image","7.3%","89",,"2244","1303","87","1","1","6",
"Apr 10, 2025 10:00:25 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18508443079063258-b24c3ca9e7e390.jpg","https://www.instagram.com/p/DIRg5kRMCyo/","🌊🏄 Ride the waves of history and meet the Masters of Surf! 🌊🏄

Waterman's Plaza, located next to the pedestrian bridge on Pacific Coast Highway near Dana Point Harbor Drive, pays tribute to filmmakers, industry moguls, and pioneers of the surf industry.

Statues of timeless legends like Hobie Alter, Phil Edwards, Bruce Brown, Joyce Hoffman, John Severson, and tandem surfers Barrie and Steve Boehne are among the public art on display.

📷@jpvsphoto // @cityofdanapoint 
#VisitDanaPoint #MyDanaPoint #DanaPoint","carousel","9.6%","155",,"3295","1612","147",,"4","4",
"Apr 9, 2025 10:00:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17872646274336214-51e8c0fb7b4272.jpg","https://www.instagram.com/p/DIO8F3EyoAG/","Days spent at Doheny State Beach are always good days in our book 💙☀️🌊🏄‍♂️
⠀
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","carousel","9.7%","238","22986","5354","2444","222","3","6","7",
"Apr 8, 2025 10:00:29 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18048132422340847-11da379b33d6d1.jpg","https://www.instagram.com/p/DIMXUNSokyF/","With Earth Day in April, we invite you to join us at a beach cleanup and help keep our beautiful coastline clean and vibrant for generations to come! 🌎💙💚

Save the date for one of the beach cleanups below, bring your friends, and let's create a cleaner, greener Dana Point!

🌊Sunday, April 13 @standuptotrash Beach Cleanup
📍Baby Beach & Ocean Institute
8:00-9:00am Yoga on the grass at Baby Beach 
9:00-10:30am Beach Cleanup 
10:30am Free Lunch & Learn at Ocean Institute 
🔗standuptotrash.com/beach-sign-up

🌊Friday, April 25 @doheny_state_beach_foundation and @castateparksoc Beach Cleanup 
📍Doheny State Beach - North of Lifeguard Station 
9:00am-Noon 
🔗dohenystatebeach.org/2025-beach-clean-ups/

#VisitDanaPoint #MyDanaPoint #DanaPoint","image","10%","199","22975","3151","2074","190","3","6","10",
