Time Posted,"Image URL","Caption","Media Type (Image, Video, Carousel)","Engagement Rate","Engagements","Comments","Likes","Views","Saves","Reach","Shares","Instagram Post","Product Type"
"Dec 16, 2025 04:58:33 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18080868245139713-524e99f799ba3e.jpg","We LOVE seeing Dana Point all lit up this time of year✨🎄

In case you missed the boat parade of lights last weekend, you still have time to check out all the lights around our beautiful city, it’s truly something special. 

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","video","12%","3572","65","2177","40458","159","30281","1171","https://www.instagram.com/reel/DSWF_1yDwzh/","reels"
"Dec 4, 2025 11:20:13 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17851162119598517-2b045b5e507e0c.jpg","Welcome to the neighborhood, Kaantique!🎉✂️ — a women’s fashion boutique striving for fair trade and sustainable goods. Both trendy and versatile, come shop all things clothing, jewelry, handbags, and accessories. Oh… and they have dog treats too! 

We’re happy to have you here in Dana Point! Located in La Plaza Park. #shoplocal #visitdanapoint #mydanapoint #danapoint","video","6.6%","151","2","133","3429","5","2291","11","https://www.instagram.com/reel/DR2llwoEuoF/","reels"
"Oct 9, 2025 02:46:36 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17972882489947843-49653aa74ebc26.jpg","Step inside @wineexperiencedp 🍷 and discover 25+ wines on tap, curated cheese boards, and elevated bites. The perfect new spot in the heart of the Lantern District to sip, savor, and enjoy the moment. 

#danapoint #visitdanapoint #mydanapoint","video","12%","476","4","276","7240","26","4090","170","https://www.instagram.com/reel/DPmqQpHEg79/","reels"
"Oct 6, 2025 11:33:09 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17862986964475746-a3f453ed83e629.jpg","We had the best time hosting our Fall Taste & Tour event last week in partnership with the @danapointchamber and the @cityofdanapoint !

Thank you to everyone that joined us and a huge thank you to our restaurant partners who all went above and beyond to showcase their offerings🙌🏻😊
@coffeeimporters 
@wineexperiencedp 
@saltcreekgrilleoc 
@hookandanchorrestaurant 
@frisbycellars 

#danapoint #mydanapoint #visitdanapoint","video","4.6%","140","12","121","4248","3","3054","4","https://www.instagram.com/reel/DPekBmViH2j/","reels"
"Sep 3, 2025 03:55:50 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18041797067378188-fbf758670c3712.jpg","Forever chasing Dana Point sunsets🌅 

📸: @waterproject 

#visitdanapoint #mydanapoint #danapoint","video","11%","402","6","289","4853","7","3527","100","https://www.instagram.com/reel/DOKFNsdkm3J/","reels"
"Aug 15, 2025 02:17:26 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17979945182901197-64d333d73d5a98.jpg","Congratulations to the @ritzcarltonlagunaniguel on the grand opening of their beautifully renovated spa! 🧖‍♀️✨ Where luxury, relaxation, and rejuvenation come together. Get ready to unwind in style. 

#visitdanapoint #danapoint #mydanapoint #ritzcarltonspa #ritzcarltonlagunaniguel","video","6.4%","421","19","330","9774","7","6566","65","https://www.instagram.com/reel/DNY-SXHSYZA/","reels"
"Aug 6, 2025 11:46:34 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18058605584372874-c2d3ac7566855a.jpg","We had a BLAST at @saltcreekgrilleoc TRIVIA NIGHT last night🤩

FUN for the WHOLE FAM! Delicious food, great atmosphere, and Family Feud trivia... what could be better?! Join in on the fun every Tuesday night from 6pm-8pm💃🏼

#visitdanapoint #mydanapoint #danapoint #saltcreekgrilleoc","video","7.0%","261","15","157","5163","10","3739","79","https://www.instagram.com/reel/DNBh8LgSCU4/","reels"
"Jun 6, 2025 10:01:20 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18475334887069622-160bb838796c65.jpg","Reporting live from Dana Point🚨A beautiful sunny weekend awaits😎☀ Come see it for yourself!

#visitdanapoint #mydanapoint #danapoint","video","9.6%","415","5","353","6840","7","4340","50","https://www.instagram.com/reel/DKkSRi-tdKr/","reels"
"Apr 30, 2025 04:25:59 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18046106150386485-24e39c09dd1d1e.jpg","Our little slice of coastal paradise🏝💛

#visitdanapoint #mydanapoint #danapoint","video","15%","596","9","515","5283","18","4082","54","https://www.instagram.com/reel/DJFs3aTyCOX/","reels"
"Apr 18, 2025 06:00:41 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18051955181464003-5d4069e4d0c178.jpg","Sunsets in Dana Point are the best in our book!🌅 #visitdanapoint #mydanapoint #danapoint 

📸: @waterproject","video","14%","589","6","494","5785","16","4324","73","https://www.instagram.com/reel/DIm-KH5qD60/","reels"
"Apr 7, 2025 10:00:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/17942820017977136-8d1ddb9db9f94f.jpg","Pre-summer vibes in Dana Point loading…. ☀️🌊🏄
⠀
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","video","11%","376","6","313","4795","9","3355","48","https://www.instagram.com/reel/DIJyffrS4kq/","reels"
"Apr 5, 2025 10:00:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18178822873318594-8ce838d6c4891e.jpg","Sun, sea and serenity await at @elcaminantehotel ☀️🌊 Escape to paradise.
⠀
⠀
🎥 @elcaminantehotel 
#VisitDanaPoint #MyDanaPoint #DanaPoint","video","7.8%","89","2","79","1543","4","1134","4","https://www.instagram.com/reel/DICEMOZyBDk/","reels"
"Apr 1, 2025 10:00:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18066611506936541-b26a0e19796648.jpg","🌼🌊 April in Dana Point is packed with exciting events! Whether you’re a local or just visiting, there’s something for everyone to enjoy this month.
⠀
🗓️ Visit our #linkinbio for a full calendar of events in the community and at our local resorts.
⠀
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","video","5.2%","321","5","193","9700","36","6124","87","https://www.instagram.com/reel/DH6Vx9NSxtv/","reels"
"Mar 30, 2025 04:00:00 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18148078738335931-121818004e5076.jpg","A warm sunset, cool breeze, and peaceful evening. Plan your next seaside getaway to Dana Point!
⠀
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","video","11%","400","7","338","5461","6","3624","49","https://www.instagram.com/reel/DH11UXuyfFl/","reels"
"Mar 25, 2025 04:00:00 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/18058073629887376-e93d7322beb10b.jpg","Escape to Waldorf Astoria Monarch Beach Resort & Club, where every moment is an experience to cherish.
⠀
✨ Plan your dream vacation! @wamonarchbeach ✨
⠀
⠀
🎥 @wamonarchbeach 
#VisitDanaPoint #MyDanaPoint #DanaPoint","video","4.6%","49","0","45","1481","1","1061","3","https://www.instagram.com/reel/DHo9YaVSX3T/","reels"
