Time Posted,"Image URL","Views","Reach","Replies","Back","Forward","Exited","Completion Rate","Avg. Views/User"
"Mar 24, 2026 04:42:24 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3860233751565897497_17841400918126378-a31660928b43e5.jpg","301","264","0","8","170","24","92%","1"
"Mar 19, 2026 06:54:43 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856676474547896125_17841400918126378-a4a3edee2b31e5.jpg","398","338","0","32","262","55","86%","1"
"Mar 19, 2026 06:54:38 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856676430641939476_17841400918126378-4c4b28f57c7980.jpg","415","359","1","26","306","20","95%","1"
"Mar 19, 2026 06:28:53 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856663471064626416_17841400918126378-2f991584a10c56.jpg","959","749","0","40","322","21","98%","1"
"Mar 19, 2026 06:27:31 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856662793307042291_17841400918126378-6eff8c6c3d362a.jpg","553","434","2","40","343","11","98%","1"
"Mar 19, 2026 06:25:35 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856661819607775800_17841400918126378-313d2518c6454d.jpg","616","529","1","16","307","28","95%","1"
"Mar 18, 2026 11:43:24 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856097003264562036_17841400918126378-de7a825dabac10.jpg","344","278","1","12","224","26","92%","1"
"Mar 18, 2026 11:40:30 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856095540358455047_17841400918126378-9cdcf36c4dd0b2.jpg","276","259","0","11","242","12","96%","1"
"Mar 18, 2026 11:39:33 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856095077122709237_17841400918126378-56b4a3e18eafee.jpg","300","267","0","16","248","12","96%","1"
"Mar 18, 2026 11:37:08 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856093847193387875_17841400918126378-7f1d4fa3027cfc.jpg","331","291","1","21","242","15","95%","1"
"Mar 18, 2026 11:36:38 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3856093596927678246_17841400918126378-835608a037956d.jpg","426","354","0","5","249","32","92%","1"
"Feb 26, 2026 09:57:49 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3841216156883537842_17841400918126378-c0c9dad1d4d1e0.jpg","240","213","0","4","171","23","90%","1"
"Feb 26, 2026 09:57:33 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3841216016617635632_17841400918126378-04260a6d38e3cf.jpg","231","218","0","5","201","8","97%","1"
"Feb 26, 2026 09:57:25 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3841215948242049407_17841400918126378-cb1499b38d66d5.jpg","245","226","0","7","202","17","93%","1"
"Feb 26, 2026 09:57:11 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3841215838082867528_17841400918126378-ee9e3edef9cece.jpg","266","237","0","14","209","12","95%","1"
"Feb 26, 2026 09:56:11 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3841215332140758091_17841400918126378-6998045ca98e64.jpg","358","293","0","4","217","30","92%","1"
"Feb 19, 2026 10:38:16 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3836525471517390058_17841400918126378-5efcc807b8962f.jpg","785","693","1","3","387","73","91%","1"
"Feb 18, 2026 09:33:15 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3835767969175592459_17841400918126378-73ff4dd4f44a6e.jpg","923","669","0","83","470","67","93%","1"
"Feb 18, 2026 09:31:51 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3835767272644296951_17841400918126378-fc96ea37577b88.jpg","1028","789","0","17","505","50","95%","1"
"Feb 3, 2026 01:01:16 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3824638644599290149_17841400918126378-a3eb19a9054937.jpg","731","533","0","48","506","73","90%","1"
"Feb 3, 2026 01:01:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3824638552358182304_17841400918126378-4d2c54747fa2c0.jpg","794","653","0","6","431","73","91%","1"
"Jan 21, 2026 10:33:11 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3815142042486573946_17841400918126378-f8b3e23414c88c.jpg","234","206","1","5","178","17","93%","1"
"Jan 21, 2026 10:32:58 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3815141918612001392_17841400918126378-f7853e91f3fd73.jpg","291","260","0","0","187","27","91%","1"
"Jan 18, 2026 07:25:37 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3813235687521036343_17841400918126378-038301d41e82c9.jpg","528","443","1","6","299","57","89%","1"
"Jan 15, 2026 09:16:01 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3810754556897560593_17841400918126378-411118991ccb44.jpg","198","182","0","9","154","19","90%","1"
"Jan 15, 2026 09:15:52 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3810754490551292155_17841400918126378-306e1b0c9edf01.jpg","211","187","0","14","183","8","96%","1"
"Jan 15, 2026 09:15:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3810754321722150765_17841400918126378-f17e35d248291e.jpg","237","195","0","18","174","4","98%","1"
"Jan 15, 2026 09:15:14 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3810754142415654386_17841400918126378-4b90c889feaa39.jpg","309","260","0","9","175","25","92%","1"
"Jan 12, 2026 11:40:42 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3808653054976392684_17841400918126378-114f42fd7cda12.jpg","489","396","0","5","240","74","85%","1"
"Jan 8, 2026 09:28:14 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3805687256585957493_17841400918126378-8da38def667146.jpg","344","286","0","23","234","35","90%","1"
"Jan 8, 2026 09:27:52 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3805687092035050011_17841400918126378-7fecdf20921857.jpg","365","300","0","32","248","20","95%","1"
"Jan 8, 2026 09:26:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3805686450793082007_17841400918126378-de4a3d07aa0618.jpg","407","348","0","13","275","13","97%","1"
"Jan 8, 2026 09:24:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3805685418927138191_17841400918126378-ddd6d885f5a044.jpg","396","344","0","4","281","25","94%","1"
"Jan 7, 2026 03:38:30 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3805148837984745299_17841400918126378-f78c2e502d64b3.jpg","281","253","0","0","159","47","83%","1"
"Jan 5, 2026 01:13:01 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3803626071515107161_17841400918126378-c343bae30ef800.jpg","309","259","0","16","210","43","86%","1"
"Jan 5, 2026 01:09:27 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3803624277309307259_17841400918126378-a4cda6754a4ffd.jpg","326","260","1","12","236","23","93%","1"
"Jan 5, 2026 01:08:52 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3803623970227531248_17841400918126378-fd32e53a584fb1.jpg","388","313","0","4","236","37","90%","1"
"Dec 22, 2025 10:48:40 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3793406548644073275_17841400918126378-9181b75b40d0da.jpg","549","474","0","32","367","61","89%","1"
"Dec 22, 2025 10:48:31 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3793406473272483323_17841400918126378-22ec69ed562d09.jpg","644","544","0","13","416","43","93%","1"
"Dec 16, 2025 05:01:12 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3789245396540171305_17841400918126378-b557c49d7b950f.jpg","430","355","1","15","262","67","84%","1"
"Dec 16, 2025 12:33:30 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3789110651940649445_17841400918126378-a241029162cc0d.jpg","316","285","0","5","244","28","91%","1"
"Dec 16, 2025 12:33:11 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3789110495048551662_17841400918126378-6f919d968d2451.jpg","365","324","1","4","247","34","91%","1"
"Dec 15, 2025 01:49:28 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3788424150181390329_17841400918126378-bfdad9c6da9fdb.jpg","385","335","0","8","262","45","88%","1"
"Dec 15, 2025 10:32:15 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3788324886231008725_17841400918126378-c6812f07017914.jpg","365","347","0","4","257","34","91%","1"
"Dec 13, 2025 02:40:42 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3787000354077576088_17841400918126378-32c8a23ce4b66c.jpg","900","696","3","75","625","85","91%","1"
"Dec 13, 2025 02:40:23 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3787000242886554420_17841400918126378-1fef64d30232e7.jpg","1033","820","0","23","637","78","92%","1"
"Dec 12, 2025 02:59:23 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3786284994340762377_17841400918126378-1b7ff3afab55c8.jpg","1072","831","1","56","655","90","92%","1"
"Dec 12, 2025 02:59:13 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3786284895665567190_17841400918126378-ebd342b5f1d0a7.jpg","1038","886","0","37","725","37","96%","1"
"Dec 12, 2025 02:14:08 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3786262223808276327_17841400918126378-8767000959775b.jpg","1216","1033","0","13","770","64","95%","1"
"Dec 11, 2025 10:57:43 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3785438576604524508_17841400918126378-2365c6e985ebe7.jpg","475","412","0","21","286","63","87%","1"
"Dec 11, 2025 10:57:37 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3785438513513817970_17841400918126378-12cf75974419ac.jpg","509","439","0","32","374","20","96%","1"
"Dec 11, 2025 10:56:22 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3785437901464159603_17841400918126378-25d835aeaf4407.jpg","624","518","0","7","347","40","94%","1"
"Dec 9, 2025 03:45:40 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3784133950626264114_17841400918126378-d3b49adc571bfc.jpg","282","261","0","6","221","45","84%","1"
"Dec 9, 2025 03:10:42 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3784116344422856725_17841400918126378-486ce6fe3d0719.jpg","300","263","1","16","243","13","96%","1"
"Dec 9, 2025 03:09:26 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3784115715990234721_17841400918126378-b5f20a8e548ef5.jpg","345","268","0","42","238","12","97%","1"
"Dec 9, 2025 03:08:58 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3784115495244046726_17841400918126378-0ba700f3ca85ef.jpg","375","286","0","20","252","18","95%","1"
"Dec 9, 2025 02:47:23 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3784104633791824345_17841400918126378-64eb746b09840a.jpg","413","342","0","7","249","28","93%","1"
"Dec 1, 2025 01:15:48 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3778260325318710958_17841400918126378-88155b2916a951.jpg","244","214","0","8","187","32","87%","1"
"Dec 1, 2025 01:15:14 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3778260023521770972_17841400918126378-05bd7984e06f1a.jpg","271","229","0","34","203","18","93%","1"
"Dec 1, 2025 01:15:03 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3778259946346562892_17841400918126378-1d8cc9ac04712e.jpg","302","241","0","22","220","12","96%","1"
"Dec 1, 2025 01:14:54 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3778259888926556120_17841400918126378-aa5066e1fc8257.jpg","332","286","0","3","210","28","92%","1"
"Nov 26, 2025 10:39:49 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3774557926808790436_17841400918126378-b9e9f0b325f452.jpg","281","246","0","9","187","36","87%","1"
"Nov 26, 2025 10:39:45 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3774557887063536923_17841400918126378-d83914113596ea.jpg","319","283","1","8","205","20","94%","1"
"Nov 25, 2025 05:06:07 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3774027592140540346_17841400918126378-974f35906f5821.jpg","227","192","0","6","142","32","86%","1"
"Nov 25, 2025 11:59:41 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3773873354588738724_17841400918126378-7a4fc5f55a0b3b.jpg","254","220","0","7","189","20","92%","1"
"Nov 25, 2025 11:59:29 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3773873277388369863_17841400918126378-2fedd25aa52c94.jpg","304","265","0","6","185","25","92%","1"
"Nov 24, 2025 02:14:58 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3773216681360517836_17841400918126378-985b2fcec6390c.jpg","467","390","0","6","252","50","89%","1"
"Nov 21, 2025 11:28:07 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3770958365200678472_17841400918126378-30df8c8f2c4aee.jpg","522","457","0","5","287","51","90%","1"
"Nov 17, 2025 01:34:11 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3768122700201103352_17841400918126378-a9cc2d794ad4c9.jpg","345","299","0","21","217","44","87%","1"
"Nov 17, 2025 01:33:55 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3768122565362619879_17841400918126378-40e790e493b480.jpg","350","316","0","16","276","16","95%","1"
"Nov 17, 2025 01:33:35 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3768122397892468824_17841400918126378-1892bacd8ae4cc.jpg","352","327","0","8","286","16","95%","1"
"Nov 17, 2025 01:32:52 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3768122040009284974_17841400918126378-bb411bcc6fc388.jpg","405","374","0","5","270","26","94%","1"
"Nov 3, 2025 12:33:10 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757945130763605746_17841400918126378-beae0fc4c8ccd2.jpg","299","280","1","7","225","28","91%","1"
"Nov 3, 2025 12:31:44 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757944413202041586_17841400918126378-d02d7f0b2871e7.jpg","336","315","0","14","246","21","94%","1"
"Nov 3, 2025 12:30:18 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757943690640888676_17841400918126378-31508ca1d2ee8d.jpg","457","409","1","3","263","33","93%","1"
"Nov 2, 2025 08:31:59 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757099037196530268_17841400918126378-59194d5a7acad5.jpg","1061","857","0","20","321","51","95%","1"
"Nov 2, 2025 08:29:39 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757097800942194466_17841400918126378-36fb98c84dcf7b.jpg","524","430","0","8","351","24","95%","1"
"Nov 1, 2025 07:29:02 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3756674694931094868_17841400918126378-c1029bcad7534b.jpg","384","346","0","12","274","43","89%","1"
"Nov 1, 2025 07:28:49 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3756674580426634795_17841400918126378-de5715f5f59351.jpg","463","413","2","4","296","24","95%","1"
