Date,"Followers","Views","Reach"
"March 24, 2026",24589,,
"March 17, 2026",24575,,
"March 10, 2026",24552,,
"March 3, 2026",24533,,
"February 24, 2026",24509,,
"February 17, 2026",24502,,
"February 10, 2026",24504,,
"February 3, 2026",24495,,
"January 27, 2026",24466,3587,19
"January 20, 2026",24439,1480,64
"January 13, 2026",24422,3535,146
"January 6, 2026",24429,4726,183
"December 30, 2025",24431,2148,98
"December 23, 2025",24408,10245,538
"December 16, 2025",24311,44879,4147
"December 9, 2025",24215,27331,1150
"December 2, 2025",24188,8658,321
"November 25, 2025",24169,11831,402
"November 18, 2025",24149,8511,219
"November 11, 2025",24112,4101,74
"November 4, 2025",24071,5236,53
"October 28, 2025",24034,15011,491
"October 21, 2025",24005,15423,434
"October 14, 2025",23986,18029,596
"October 7, 2025",23954,33703,1085
"September 30, 2025",23913,8616,370
"September 23, 2025",23895,18742,384
"September 16, 2025",23874,12290,310
"September 9, 2025",23869,16448,420
"September 2, 2025",23840,19953,698
"August 26, 2025",23807,23090,353
"August 19, 2025",23765,39284,988
"August 12, 2025",23720,26994,1206
"August 5, 2025",23678,26635,933
"July 29, 2025",23629,32474,827
"July 22, 2025",23576,6978,314
"July 15, 2025",23508,3675,282
"July 8, 2025",23472,7909,734
"July 1, 2025",,,
"June 24, 2025",,,
"June 17, 2025",,,
"June 10, 2025",,,
"June 3, 2025",,,
"May 27, 2025",,,
"May 20, 2025",,,
"May 13, 2025",,,
"May 6, 2025",,,
"April 29, 2025",,,
"April 22, 2025",,,
"April 15, 2025",,,
"April 8, 2025",22983,,1393
"April 1, 2025",22961,,2228
"March 25, 2025",22939,,1716
"March 19, 2026",,9832,281
"March 12, 2026",,1821,46
"March 5, 2026",,1397,31
"February 26, 2026",,4330,76
"February 19, 2026",,2510,23
"February 13, 2026",,2750,20
"February 8, 2026",,3985,8
"February 2, 2026",,2245,12
