Time,Sun Mar 15,Mon Mar 16,Tue Mar 17,Wed Mar 18,Thu Mar 12,Fri Mar 13,Sat Mar 14
"12:00 AM, -07:00 UTC",24.0,24.0,20.0,10.0,21.0,21.0,27.0
"01:00 AM, -07:00 UTC",17.0,9.00,12.0,13.0,13.0,12.0,22.0
"02:00 AM, -07:00 UTC",12.0,9.00,10.0,12.0,16.0,10.0,18.0
"03:00 AM, -07:00 UTC",8.00,17.0,14.0,11.0,17.0,13.0,12.0
"04:00 AM, -07:00 UTC",12.0,24.0,23.0,17.0,22.0,19.0,15.0
"05:00 AM, -07:00 UTC",16.0,27.0,30.0,24.0,24.0,30.0,23.0
"06:00 AM, -07:00 UTC",28.0,37.0,25.0,29.0,35.0,28.0,37.0
"07:00 AM, -07:00 UTC",42.0,52.0,48.0,46.0,42.0,40.0,40.0
"08:00 AM, -07:00 UTC",54.0,48.0,58.0,48.0,55.0,55.0,53.0
"09:00 AM, -07:00 UTC",44.0,47.0,48.0,54.0,49.0,50.0,50.0
"10:00 AM, -07:00 UTC",38.0,50.0,52.0,43.0,43.0,50.0,50.0
"11:00 AM, -07:00 UTC",45.0,58.0,54.0,49.0,57.0,55.0,50.0
"12:00 PM, -07:00 UTC",55.0,56.0,51.0,59.0,57.0,56.0,48.0
"01:00 PM, -07:00 UTC",48.0,63.0,43.0,63.0,49.0,43.0,47.0
"02:00 PM, -07:00 UTC",52.0,64.0,52.0,55.0,56.0,55.0,52.0
"03:00 PM, -07:00 UTC",43.0,58.0,56.0,53.0,55.0,46.0,43.0
"04:00 PM, -07:00 UTC",51.0,66.0,60.0,57.0,54.0,47.0,59.0
"05:00 PM, -07:00 UTC",49.0,60.0,56.0,58.0,43.0,61.0,52.0
"06:00 PM, -07:00 UTC",49.0,56.0,60.0,48.0,49.0,54.0,53.0
"07:00 PM, -07:00 UTC",54.0,52.0,59.0,42.0,55.0,56.0,62.0
"08:00 PM, -07:00 UTC",63.0,60.0,63.0,51.0,59.0,54.0,51.0
"09:00 PM, -07:00 UTC",57.0,59.0,55.0,61.0,58.0,50.0,45.0
"10:00 PM, -07:00 UTC",50.0,51.0,46.0,54.0,53.0,49.0,52.0
"11:00 PM, -07:00 UTC",35.0,24.0,27.0,35.0,27.0,33.0,39.0
