Time,Sun Mar 22,Mon Mar 23,Tue Mar 24,Wed Mar 25,Thu Mar 26,Fri Mar 27,Sat Mar 21
"12:00 AM, -07:00 UTC",18.0,21.0,9.00,19.0,18.0,21.0,21.0
"01:00 AM, -07:00 UTC",11.0,13.0,10.0,12.0,9.00,11.0,17.0
"02:00 AM, -07:00 UTC",15.0,11.0,10.0,9.00,20.0,13.0,14.0
"03:00 AM, -07:00 UTC",13.0,10.0,15.0,16.0,16.0,12.0,13.0
"04:00 AM, -07:00 UTC",16.0,16.0,13.0,18.0,27.0,24.0,21.0
"05:00 AM, -07:00 UTC",18.0,21.0,16.0,26.0,28.0,31.0,24.0
"06:00 AM, -07:00 UTC",23.0,30.0,41.0,28.0,40.0,33.0,31.0
"07:00 AM, -07:00 UTC",47.0,48.0,48.0,47.0,46.0,51.0,40.0
"08:00 AM, -07:00 UTC",56.0,54.0,57.0,49.0,56.0,56.0,52.0
"09:00 AM, -07:00 UTC",54.0,64.0,55.0,44.0,55.0,48.0,53.0
"10:00 AM, -07:00 UTC",49.0,50.0,49.0,44.0,60.0,52.0,52.0
"11:00 AM, -07:00 UTC",50.0,50.0,53.0,51.0,58.0,59.0,47.0
"12:00 PM, -07:00 UTC",49.0,55.0,52.0,48.0,55.0,49.0,48.0
"01:00 PM, -07:00 UTC",54.0,53.0,51.0,52.0,53.0,54.0,41.0
"02:00 PM, -07:00 UTC",53.0,53.0,53.0,52.0,42.0,60.0,38.0
"03:00 PM, -07:00 UTC",53.0,58.0,49.0,55.0,55.0,59.0,43.0
"04:00 PM, -07:00 UTC",52.0,56.0,63.0,61.0,58.0,58.0,52.0
"05:00 PM, -07:00 UTC",56.0,66.0,63.0,64.0,63.0,51.0,43.0
"06:00 PM, -07:00 UTC",56.0,56.0,58.0,47.0,57.0,50.0,39.0
"07:00 PM, -07:00 UTC",54.0,58.0,52.0,57.0,60.0,53.0,53.0
"08:00 PM, -07:00 UTC",62.0,67.0,56.0,55.0,71.0,51.0,59.0
"09:00 PM, -07:00 UTC",59.0,66.0,58.0,55.0,69.0,56.0,54.0
"10:00 PM, -07:00 UTC",46.0,49.0,48.0,50.0,53.0,55.0,52.0
"11:00 PM, -07:00 UTC",33.0,35.0,33.0,26.0,36.0,36.0,29.0
