Date,"Followers","Video Views"
"March 22, 2026",543,7
"March 15, 2026",542,22
"March 8, 2026",539,25
"March 1, 2026",538,12
"February 22, 2026",540,18
"February 15, 2026",540,17
"February 8, 2026",539,16
"February 1, 2026",543,25
"January 25, 2026",543,44
"January 18, 2026",543,40
"January 11, 2026",543,40
"January 4, 2026",545,86
"December 28, 2025",546,99
"December 21, 2025",546,204
"December 14, 2025",546,1677
"December 7, 2025",545,436
"November 30, 2025",547,12
"November 23, 2025",546,4
"November 16, 2025",545,32
"November 9, 2025",542,52
"November 2, 2025",542,17
"October 26, 2025",542,12
"October 19, 2025",541,19
"October 12, 2025",541,15
"October 5, 2025",540,8
"September 28, 2025",541,18
"September 21, 2025",542,16
"September 14, 2025",542,24
"September 7, 2025",543,32
"August 31, 2025",543,19
"August 24, 2025",543,27
"August 17, 2025",543,36
"August 10, 2025",542,29
"August 3, 2025",541,35
"July 27, 2025",539,33
"July 20, 2025",538,41
"July 13, 2025",,23
"July 6, 2025",,40
"June 29, 2025",,53
"June 22, 2025",,39
"June 15, 2025",,
"June 8, 2025",,
"June 1, 2025",,
"May 25, 2025",,
"May 18, 2025",,
"May 11, 2025",,
"May 4, 2025",,
"April 27, 2025",,
"April 20, 2025",,
"April 13, 2025",,
"April 6, 2025",,
"March 30, 2025",,
"March 23, 2025",,
